sample,gene,cts,fly_generation
T_0_A_1,WSP,20.826,1
T_0_A_1,WSP,21.143,1
T_0_A_1,RPL32,26.459,1
T_0_A_1,RPL32,26.69,1
T_0_A_2,WSP,20.836,1
T_0_A_2,WSP,20.9,1
T_0_A_2,RPL32,26.37,1
T_0_A_2,RPL32,26.324,1
T_0_A_3,WSP,20.881,1
T_0_A_3,WSP,20.799,1
T_0_A_3,RPL32,26.503,1
T_0_A_3,RPL32,26.467,1
T_0_A_4,WSP,20.683,1
T_0_A_4,WSP,20.606,1
T_0_A_4,RPL32,26.191,1
T_0_A_4,RPL32,26.31,1
T_0_B_1,WSP,20.45,1
T_0_B_1,WSP,20.483,1
T_0_B_1,RPL32,25.79,1
T_0_B_1,RPL32,26.067,1
T_0_B_2,WSP,20.565,1
T_0_B_2,WSP,20.435,1
T_0_B_2,RPL32,26.369,1
T_0_B_2,RPL32,26.362,1
T_0_B_3,WSP,20.816,1
T_0_B_3,WSP,20.68,1
T_0_B_3,RPL32,26.425,1
T_0_B_3,RPL32,26.39,1
T_0_B_4,WSP,20.258,1
T_0_B_4,WSP,20.324,1
T_0_B_4,RPL32,26.077,1
T_0_B_4,RPL32,26.001,1
T_0_C_1,WSP,20.433,1
T_0_C_1,WSP,20.465,1
T_0_C_1,RPL32,26.02,1
T_0_C_1,RPL32,25.98,1
T_0_C_2,WSP,20.913,1
T_0_C_2,WSP,20.824,1
T_0_C_2,RPL32,26.624,1
T_0_C_2,RPL32,26.619,1
T_0_C_3,WSP,20.798,1
T_0_C_3,WSP,20.764,1
T_0_C_3,RPL32,26.051,1
T_0_C_3,RPL32,26.029,1
T_0_C_4,WSP,20.569,1
T_0_C_4,WSP,20.645,1
T_0_C_4,RPL32,26.268,1
T_0_C_4,RPL32,26.152,1
T_1.5625_A_1,WSP,21.498,1
T_1.5625_A_1,WSP,21.546,1
T_1.5625_A_1,RPL32,26.59,1
T_1.5625_A_1,RPL32,26.45,1
T_1.5625_A_2,WSP,20.729,1
T_1.5625_A_2,WSP,20.767,1
T_1.5625_A_2,RPL32,26.202,1
T_1.5625_A_2,RPL32,26.231,1
T_1.5625_A_3,WSP,20.626,1
T_1.5625_A_3,WSP,20.663,1
T_1.5625_A_3,RPL32,25.884,1
T_1.5625_A_3,RPL32,25.849,1
T_1.5625_A_4,WSP,21.005,1
T_1.5625_A_4,WSP,21.002,1
T_1.5625_A_4,RPL32,26.394,1
T_1.5625_A_4,RPL32,26.181,1
T_1.5625_B_1,WSP,21.943,1
T_1.5625_B_1,WSP,22.005,1
T_1.5625_B_1,RPL32,26.038,1
T_1.5625_B_1,RPL32,26.101,1
T_1.5625_B_2,WSP,22.198,1
T_1.5625_B_2,WSP,22.211,1
T_1.5625_B_2,RPL32,26.259,1
T_1.5625_B_2,RPL32,26.625,1
T_1.5625_B_4,WSP,22.319,1
T_1.5625_B_4,WSP,22.576,1
T_1.5625_B_4,RPL32,26.689,1
T_1.5625_B_4,RPL32,26.505,1
T_1.5625_C_1,WSP,22.111,1
T_1.5625_C_1,WSP,22.073,1
T_1.5625_C_1,RPL32,26.498,1
T_1.5625_C_1,RPL32,26.467,1
T_1.5625_C_2,WSP,22.755,1
T_1.5625_C_2,WSP,22.868,1
T_1.5625_C_2,RPL32,27.86,1
T_1.5625_C_2,RPL32,27.902,1
T_1.5625_C_3,WSP,21.952,1
T_1.5625_C_3,WSP,21.859,1
T_1.5625_C_3,RPL32,26.201,1
T_1.5625_C_3,RPL32,26.224,1
T_1.5625_C_4,WSP,21.83,1
T_1.5625_C_4,WSP,21.755,1
T_1.5625_C_4,RPL32,26.305,1
T_1.5625_C_4,RPL32,26.208,1
T_3.125_A_1,WSP,22.899,1
T_3.125_A_1,WSP,23.179,1
T_3.125_A_1,RPL32,26.398,1
T_3.125_A_1,RPL32,26.21,1
T_3.125_A_2,WSP,23.835,1
T_3.125_A_2,WSP,24.078,1
T_3.125_A_2,RPL32,26.454,1
T_3.125_A_2,RPL32,26.483,1
T_3.125_A_3,WSP,24.229,1
T_3.125_A_3,WSP,23.854,1
T_3.125_A_3,RPL32,26.193,1
T_3.125_A_3,RPL32,26.45,1
T_3.125_A_4,WSP,22.629,1
T_3.125_A_4,WSP,22.716,1
T_3.125_A_4,RPL32,26.239,1
T_3.125_A_4,RPL32,26.315,1
T_3.125_B_1,WSP,22.776,1
T_3.125_B_1,WSP,22.398,1
T_3.125_B_1,RPL32,25.91,1
T_3.125_B_1,RPL32,25.88,1
T_3.125_B_2,WSP,22.71,1
T_3.125_B_2,WSP,22.576,1
T_3.125_B_2,RPL32,26.016,1
T_3.125_B_2,RPL32,26.131,1
T_3.125_B_3,WSP,23.627,1
T_3.125_B_3,WSP,23.644,1
T_3.125_B_3,RPL32,26.577,1
T_3.125_B_3,RPL32,26.328,1
T_3.125_B_4,WSP,22.551,1
T_3.125_B_4,WSP,22.513,1
T_3.125_B_4,RPL32,26.129,1
T_3.125_B_4,RPL32,26.063,1
T_3.125_C_1,WSP,22.103,1
T_3.125_C_1,WSP,22.46,1
T_3.125_C_1,RPL32,26.301,1
T_3.125_C_1,RPL32,26.248,1
T_3.125_C_2,WSP,21.955,1
T_3.125_C_2,WSP,21.851,1
T_3.125_C_2,RPL32,26.469,1
T_3.125_C_2,RPL32,26.521,1
T_3.125_C_3,WSP,22.175,1
T_3.125_C_3,WSP,22.087,1
T_3.125_C_3,RPL32,26.729,1
T_3.125_C_3,RPL32,26.662,1
T_6.25_A_1,WSP,24.812,1
T_6.25_A_1,WSP,24.838,1
T_6.25_A_1,RPL32,26.229,1
T_6.25_A_1,RPL32,26.181,1
T_6.25_A_2,WSP,24.734,1
T_6.25_A_2,WSP,24.807,1
T_6.25_A_2,RPL32,26.375,1
T_6.25_A_2,RPL32,26.462,1
T_6.25_B_1,WSP,24.696,1
T_6.25_B_1,WSP,24.608,1
T_6.25_B_1,RPL32,26.464,1
T_6.25_B_1,RPL32,26.306,1
T_6.25_B_2,WSP,24.636,1
T_6.25_B_2,WSP,24.41,1
T_6.25_B_2,RPL32,26.417,1
T_6.25_B_2,RPL32,26.406,1
T_6.25_B_3,WSP,24.241,1
T_6.25_B_3,WSP,24.473,1
T_6.25_B_3,RPL32,26.058,1
T_6.25_B_3,RPL32,26.187,1
T_6.25_B_4,WSP,24.735,1
T_6.25_B_4,WSP,24.709,1
T_6.25_B_4,RPL32,26.257,1
T_6.25_B_4,RPL32,26.209,1
T_6.25_C_1,WSP,23.756,1
T_6.25_C_1,WSP,23.692,1
T_6.25_C_1,RPL32,25.939,1
T_6.25_C_1,RPL32,26.102,1
T_6.25_C_2,WSP,25.529,1
T_6.25_C_2,WSP,25.442,1
T_6.25_C_2,RPL32,25.92,1
T_6.25_C_2,RPL32,26.139,1
T_6.25_C_3,WSP,24.978,1
T_6.25_C_3,WSP,25.105,1
T_6.25_C_3,RPL32,26.374,1
T_6.25_C_3,RPL32,26.249,1
T_6.25_C_4,WSP,25.091,1
T_6.25_C_4,WSP,24.969,1
T_6.25_C_4,RPL32,26.075,1
T_6.25_C_4,RPL32,25.975,1
T_12.5_A_1,WSP,27.361,1
T_12.5_A_1,WSP,27.518,1
T_12.5_A_1,RPL32,26.137,1
T_12.5_A_1,RPL32,26.192,1
T_12.5_A_2,WSP,26.78,1
T_12.5_A_2,WSP,26.954,1
T_12.5_A_2,RPL32,25.978,1
T_12.5_A_2,RPL32,25.925,1
T_12.5_A_3,WSP,27.208,1
T_12.5_A_3,WSP,26.909,1
T_12.5_A_3,RPL32,26.417,1
T_12.5_A_3,RPL32,26.614,1
T_12.5_A_4,WSP,27.226,1
T_12.5_A_4,WSP,27.246,1
T_12.5_A_4,RPL32,26.143,1
T_12.5_A_4,RPL32,26.358,1
T_12.5_B_1,WSP,28.51,1
T_12.5_B_1,WSP,29.005,1
T_12.5_B_1,RPL32,26.747,1
T_12.5_B_1,RPL32,26.786,1
T_12.5_B_2,WSP,27.971,1
T_12.5_B_2,WSP,27.933,1
T_12.5_B_2,RPL32,26.366,1
T_12.5_B_2,RPL32,26.156,1
T_12.5_B_3,WSP,28.228,1
T_12.5_B_3,WSP,28.628,1
T_12.5_B_3,RPL32,26.523,1
T_12.5_B_3,RPL32,26.409,1
T_12.5_B_4,WSP,28.37,1
T_12.5_B_4,WSP,28.486,1
T_12.5_B_4,RPL32,26.159,1
T_12.5_B_4,RPL32,26.331,1
T_12.5_C_1,WSP,27.656,1
T_12.5_C_1,WSP,27.165,1
T_12.5_C_1,RPL32,26.219,1
T_12.5_C_1,RPL32,26.33,1
T_12.5_C_2,WSP,26.593,1
T_12.5_C_2,WSP,26.745,1
T_12.5_C_2,RPL32,26.184,1
T_12.5_C_2,RPL32,26.139,1
T_12.5_C_3,WSP,25.518,1
T_12.5_C_3,WSP,25.787,1
T_12.5_C_3,RPL32,26.357,1
T_12.5_C_3,RPL32,26.339,1
T_12.5_C_4,WSP,26.476,1
T_12.5_C_4,WSP,27.198,1
T_12.5_C_4,RPL32,26.47,1
T_12.5_C_4,RPL32,26.074,1
T_25_A_1,WSP,27.61,1
T_25_A_1,WSP,27.508,1
T_25_A_1,RPL32,26.441,1
T_25_A_1,RPL32,26.504,1
T_25_A_2,WSP,28.187,1
T_25_A_2,WSP,28.428,1
T_25_A_2,RPL32,26.449,1
T_25_A_2,RPL32,26.592,1
T_25_A_3,WSP,28.327,1
T_25_A_3,WSP,28.207,1
T_25_A_3,RPL32,26.114,1
T_25_A_3,RPL32,26.061,1
T_25_A_4,WSP,28.815,1
T_25_A_4,WSP,29.962,1
T_25_A_4,RPL32,26.525,1
T_25_A_4,RPL32,26.56,1
T_25_B_1,WSP,28.195,1
T_25_B_1,WSP,28.326,1
T_25_B_1,RPL32,26.556,1
T_25_B_1,RPL32,26.36,1
T_25_B_2,WSP,29.089,1
T_25_B_2,WSP,29.279,1
T_25_B_2,RPL32,26.139,1
T_25_B_2,RPL32,26.056,1
T_25_B_3,WSP,29.587,1
T_25_B_3,WSP,29.496,1
T_25_B_3,RPL32,26.6,1
T_25_B_3,RPL32,26.565,1
T_25_B_4,WSP,27.189,1
T_25_B_4,WSP,27.254,1
T_25_B_4,RPL32,25.955,1
T_25_B_4,RPL32,26.12,1
T_25_C_1,WSP,28.63,1
T_25_C_1,WSP,28.85,1
T_25_C_1,RPL32,26.353,1
T_25_C_1,RPL32,26.448,1
T_25_C_2,WSP,29.25,1
T_25_C_2,WSP,28.67,1
T_25_C_2,RPL32,26.379,1
T_25_C_2,RPL32,26.522,1
T_25_C_3,WSP,28.577,1
T_25_C_3,WSP,28.783,1
T_25_C_3,RPL32,26.434,1
T_25_C_3,RPL32,26.364,1
T_25_C_4,WSP,30.223,1
T_25_C_4,WSP,29.36,1
T_25_C_4,RPL32,26.065,1
T_25_C_4,RPL32,26.22,1
T_50_A_1,WSP,31.101,1
T_50_A_1,WSP,30.208,1
T_50_A_1,RPL32,26.322,1
T_50_A_1,RPL32,26.342,1
T_50_A_2,WSP,33.789,1
T_50_A_2,WSP,31.46,1
T_50_A_2,RPL32,26.58,1
T_50_A_2,RPL32,26.574,1
T_50_A_3,WSP,31.88,1
T_50_A_3,WSP,31.723,1
T_50_A_3,RPL32,26.199,1
T_50_A_3,RPL32,26.141,1
T_50_A_4,WSP,30.953,1
T_50_A_4,WSP,31.355,1
T_50_A_4,RPL32,26.306,1
T_50_A_4,RPL32,26.3,1
T_50_B_1,WSP,30.915,1
T_50_B_1,WSP,31.543,1
T_50_B_1,RPL32,26.409,1
T_50_B_1,RPL32,26.395,1
T_50_B_2,WSP,29.604,1
T_50_B_2,WSP,29.99,1
T_50_B_2,RPL32,26.38,1
T_50_B_2,RPL32,26.304,1
T_50_B_3,WSP,31.198,1
T_50_B_3,WSP,31.276,1
T_50_B_3,RPL32,26.196,1
T_50_B_3,RPL32,26.323,1
T_50_B_4,WSP,31.6,1
T_50_B_4,WSP,32.441,1
T_50_B_4,RPL32,26.681,1
T_50_B_4,RPL32,26.584,1
T_50_C_1,WSP,29.392,1
T_50_C_1,WSP,28.739,1
T_50_C_1,RPL32,26.571,1
T_50_C_1,RPL32,26.407,1
T_0_A_1,WSP,21.583,2
T_0_A_1,WSP,21.657,2
T_0_A_1,RPL32,25.758,2
T_0_A_1,RPL32,25.642,2
T_0_A_2,WSP,20.532,2
T_0_A_2,WSP,20.536,2
T_0_A_2,RPL32,25.339,2
T_0_A_2,RPL32,25.409,2
T_0_A_4,WSP,21.581,2
T_0_A_4,WSP,21.281,2
T_0_A_4,RPL32,25.9,2
T_0_A_4,RPL32,26.043,2
T_0_B_1,WSP,20.726,2
T_0_B_1,WSP,20.869,2
T_0_B_1,RPL32,25.48,2
T_0_B_1,RPL32,25.462,2
T_0_B_2,WSP,21.938,2
T_0_B_2,WSP,21.849,2
T_0_B_2,RPL32,26.245,2
T_0_B_2,RPL32,25.692,2
T_0_B_3,WSP,21.356,2
T_0_B_3,WSP,21.402,2
T_0_B_3,RPL32,25.438,2
T_0_B_3,RPL32,25.443,2
T_0_B_4,WSP,20.603,2
T_0_B_4,WSP,20.747,2
T_0_B_4,RPL32,25.718,2
T_0_B_4,RPL32,25.504,2
T_0_C_1,WSP,20.715,2
T_0_C_1,WSP,20.77,2
T_0_C_1,RPL32,25.702,2
T_0_C_1,RPL32,25.688,2
T_0_C_2,WSP,21.662,2
T_0_C_2,WSP,21.691,2
T_0_C_2,RPL32,25.917,2
T_0_C_2,RPL32,25.878,2
T_0_C_3,WSP,21.121,2
T_0_C_3,WSP,21.204,2
T_0_C_3,RPL32,25.662,2
T_0_C_3,RPL32,25.618,2
T_0_C_4,WSP,20.977,2
T_0_C_4,WSP,20.963,2
T_0_C_4,RPL32,25.5,2
T_0_C_4,RPL32,25.557,2
T_1.5625_A_1,WSP,22.181,2
T_1.5625_A_1,WSP,21.967,2
T_1.5625_A_1,RPL32,25.59,2
T_1.5625_A_1,RPL32,25.618,2
T_1.5625_A_2,WSP,23.177,2
T_1.5625_A_2,WSP,23.268,2
T_1.5625_A_2,RPL32,27.504,2
T_1.5625_A_2,RPL32,27.466,2
T_1.5625_A_3,WSP,21.609,2
T_1.5625_A_3,WSP,21.484,2
T_1.5625_A_3,RPL32,25.844,2
T_1.5625_A_3,RPL32,25.851,2
T_1.5625_A_4,WSP,21.475,2
T_1.5625_A_4,WSP,21.564,2
T_1.5625_A_4,RPL32,25.83,2
T_1.5625_A_4,RPL32,25.712,2
T_1.5625_B_1,WSP,26.548,2
T_1.5625_B_1,WSP,26.847,2
T_1.5625_B_1,RPL32,25.649,2
T_1.5625_B_1,RPL32,25.858,2
T_1.5625_B_2,WSP,21.871,2
T_1.5625_B_2,WSP,21.855,2
T_1.5625_B_2,RPL32,25.471,2
T_1.5625_B_2,RPL32,25.444,2
T_1.5625_C_2,WSP,21.775,2
T_1.5625_C_2,WSP,21.736,2
T_1.5625_C_2,RPL32,26.445,2
T_1.5625_C_2,RPL32,26.402,2
T_1.5625_C_3,WSP,21.963,2
T_1.5625_C_3,WSP,21.852,2
T_1.5625_C_3,RPL32,26.359,2
T_1.5625_C_3,RPL32,26.185,2
T_3.125_A_1,WSP,29.819,2
T_3.125_A_1,WSP,28.923,2
T_3.125_A_1,RPL32,26.032,2
T_3.125_A_1,RPL32,25.993,2
T_3.125_A_2,WSP,21.927,2
T_3.125_A_2,WSP,21.998,2
T_3.125_A_2,RPL32,25.772,2
T_3.125_A_2,RPL32,25.637,2
T_3.125_A_3,WSP,31.539,2
T_3.125_A_3,WSP,31.175,2
T_3.125_A_3,RPL32,25.479,2
T_3.125_A_3,RPL32,25.591,2
T_3.125_A_4,WSP,23.327,2
T_3.125_A_4,WSP,23.207,2
T_3.125_A_4,RPL32,26.572,2
T_3.125_A_4,RPL32,26.537,2
T_3.125_B_1,WSP,23.205,2
T_3.125_B_1,WSP,22.963,2
T_3.125_B_1,RPL32,25.972,2
T_3.125_B_1,RPL32,25.944,2
T_3.125_B_2,WSP,21.775,2
T_3.125_B_2,WSP,21.842,2
T_3.125_B_2,RPL32,25.73,2
T_3.125_B_2,RPL32,25.776,2
T_3.125_B_3,WSP,28.46,2
T_3.125_B_3,WSP,27.995,2
T_3.125_B_3,RPL32,25.858,2
T_3.125_B_3,RPL32,25.872,2
T_3.125_B_4,WSP,21.992,2
T_3.125_B_4,WSP,21.927,2
T_3.125_B_4,RPL32,25.661,2
T_3.125_B_4,RPL32,25.668,2
T_3.125_C_1,WSP,23.408,2
T_3.125_C_1,WSP,23.41,2
T_3.125_C_1,RPL32,25.844,2
T_3.125_C_1,RPL32,25.924,2
T_3.125_C_2,WSP,32.159,2
T_3.125_C_2,WSP,32.415,2
T_3.125_C_2,RPL32,26.139,2
T_3.125_C_2,RPL32,26.207,2
T_3.125_C_3,WSP,23.799,2
T_3.125_C_3,WSP,23.879,2
T_3.125_C_3,RPL32,25.534,2
T_3.125_C_3,RPL32,25.743,2
T_6.25_A_1,WSP,28.706,2
T_6.25_A_1,WSP,28.691,2
T_6.25_A_1,RPL32,26.059,2
T_6.25_A_1,RPL32,25.752,2
T_6.25_A_2,WSP,23.705,2
T_6.25_A_2,WSP,23.56,2
T_6.25_A_2,RPL32,25.542,2
T_6.25_A_2,RPL32,25.676,2
T_6.25_B_1,WSP,31.905,2
T_6.25_B_1,WSP,32.727,2
T_6.25_B_1,RPL32,25.785,2
T_6.25_B_1,RPL32,25.86,2
T_6.25_B_2,WSP,24.235,2
T_6.25_B_2,WSP,24.372,2
T_6.25_B_2,RPL32,25.82,2
T_6.25_B_2,RPL32,25.89,2
T_6.25_B_3,WSP,30.75,2
T_6.25_B_3,WSP,30.334,2
T_6.25_B_3,RPL32,26.026,2
T_6.25_B_3,RPL32,25.92,2
T_6.25_B_4,WSP,22.563,2
T_6.25_B_4,WSP,22.655,2
T_6.25_B_4,RPL32,25.927,2
T_6.25_B_4,RPL32,25.738,2
T_6.25_C_1,WSP,31.361,2
T_6.25_C_1,WSP,31.592,2
T_6.25_C_1,RPL32,24.997,2
T_6.25_C_1,RPL32,24.909,2
T_6.25_C_3,WSP,31.194,2
T_6.25_C_3,WSP,30.655,2
T_6.25_C_3,RPL32,25.529,2
T_6.25_C_3,RPL32,25.464,2
T_6.25_C_4,WSP,31.595,2
T_6.25_C_4,WSP,31.807,2
T_6.25_C_4,RPL32,25.902,2
T_6.25_C_4,RPL32,25.937,2
T_12.5_A_1,WSP,30.932,2
T_12.5_A_1,WSP,30.881,2
T_12.5_A_1,RPL32,25.956,2
T_12.5_A_1,RPL32,25.874,2
T_12.5_A_2,WSP,31.241,2
T_12.5_A_2,WSP,30.868,2
T_12.5_A_2,RPL32,25.988,2
T_12.5_A_2,RPL32,25.906,2
T_12.5_A_4,WSP,26.341,2
T_12.5_A_4,WSP,26.293,2
T_12.5_A_4,RPL32,26.029,2
T_12.5_A_4,RPL32,26.172,2
T_12.5_B_1,WSP,31.662,2
T_12.5_B_1,WSP,31.481,2
T_12.5_B_1,RPL32,25.26,2
T_12.5_B_1,RPL32,25.418,2
T_12.5_B_2,WSP,31.149,2
T_12.5_B_2,WSP,31.421,2
T_12.5_B_2,RPL32,25.61,2
T_12.5_B_2,RPL32,25.553,2
T_12.5_B_3,WSP,31.613,2
T_12.5_B_3,WSP,30.867,2
T_12.5_B_3,RPL32,25.84,2
T_12.5_B_3,RPL32,25.938,2
T_12.5_B_4,WSP,31.225,2
T_12.5_B_4,WSP,30.327,2
T_12.5_B_4,RPL32,25.532,2
T_12.5_B_4,RPL32,25.51,2
T_12.5_C_1,WSP,31.69,2
T_12.5_C_1,WSP,31.147,2
T_12.5_C_1,RPL32,25.79,2
T_12.5_C_1,RPL32,25.918,2
T_12.5_C_2,WSP,32.086,2
T_12.5_C_2,WSP,33.384,2
T_12.5_C_2,RPL32,25.672,2
T_12.5_C_2,RPL32,25.876,2
T_12.5_C_3,WSP,31.636,2
T_12.5_C_3,WSP,31.497,2
T_12.5_C_3,RPL32,25.713,2
T_12.5_C_3,RPL32,25.672,2
T_12.5_C_4,WSP,30.979,2
T_12.5_C_4,WSP,31.324,2
T_12.5_C_4,RPL32,25.779,2
T_12.5_C_4,RPL32,25.792,2
T_25_A_1,WSP,31.626,2
T_25_A_1,WSP,30.848,2
T_25_A_1,RPL32,25.931,2
T_25_A_1,RPL32,25.734,2
T_25_A_2,WSP,31.297,2
T_25_A_2,WSP,32.275,2
T_25_A_2,RPL32,25.707,2
T_25_A_2,RPL32,25.65,2
T_25_A_3,WSP,30.987,2
T_25_A_3,WSP,30.783,2
T_25_A_3,RPL32,25.444,2
T_25_A_3,RPL32,25.449,2
T_25_A_4,WSP,32.156,2
T_25_A_4,WSP,31.813,2
T_25_A_4,RPL32,25.743,2
T_25_A_4,RPL32,26.017,2
T_25_B_1,WSP,31.572,2
T_25_B_1,WSP,31.34,2
T_25_B_1,RPL32,25.727,2
T_25_B_1,RPL32,25.938,2
T_25_B_2,WSP,31.363,2
T_25_B_2,WSP,31.691,2
T_25_B_2,RPL32,25.684,2
T_25_B_2,RPL32,25.595,2
T_25_B_4,WSP,31.749,2
T_25_B_4,WSP,30.637,2
T_25_B_4,RPL32,25.732,2
T_25_B_4,RPL32,25.868,2
T_25_C_2,WSP,31.503,2
T_25_C_2,WSP,31.44,2
T_25_C_2,RPL32,25.781,2
T_25_C_2,RPL32,25.929,2
T_25_C_3,WSP,32.358,2
T_25_C_3,WSP,31.336,2
T_25_C_3,RPL32,25.513,2
T_25_C_3,RPL32,25.367,2
T_50_A_1,WSP,30.299,2
T_50_A_1,WSP,30.847,2
T_50_A_1,RPL32,25.308,2
T_50_A_1,RPL32,25.203,2
T_50_A_2,WSP,32.197,2
T_50_A_2,WSP,32.426,2
T_50_A_2,RPL32,25.992,2
T_50_A_2,RPL32,26.126,2
T_50_A_2,WSP,30.848,2
T_50_A_2,WSP,30.589,2
T_50_A_2,RPL32,26.174,2
T_50_A_2,RPL32,26.116,2
T_50_A_3,WSP,32.391,2
T_50_A_3,WSP,32.499,2
T_50_A_3,RPL32,25.791,2
T_50_A_3,RPL32,25.727,2
T_50_A_4,WSP,32.467,2
T_50_A_4,WSP,31.737,2
T_50_A_4,RPL32,25.892,2
T_50_A_4,RPL32,25.835,2
T_50_B_1,WSP,30.917,2
T_50_B_1,WSP,31.191,2
T_50_B_1,RPL32,25.857,2
T_50_B_1,RPL32,25.736,2
T_50_B_2,WSP,30.507,2
T_50_B_2,WSP,31.127,2
