sample,gene,cts,fly_generations
C_Y_Y_N_A_1,WSP,21.957,1
C_Y_Y_N_A_1,WSP,21.945,1
C_Y_Y_N_A_1,RPL32,26.759,1
C_Y_Y_N_A_1,RPL32,26.663,1
C_Y_Y_Y_B_1,WSP,22.439,1
C_Y_Y_Y_B_1,WSP,22.517,1
C_Y_Y_Y_B_1,RPL32,28.023,1
C_Y_Y_Y_B_1,RPL32,28.118,1
C_Y_Y_N_C_1,WSP,22.253,1
C_Y_Y_N_C_1,WSP,22.605,1
C_Y_Y_N_C_1,RPL32,27.654,1
C_Y_Y_N_C_1,RPL32,27.571,1
C_Y_Y_N_D_1,WSP,21.982,1
C_Y_Y_N_D_1,WSP,22.009,1
C_Y_Y_N_D_1,RPL32,27.100,1
C_Y_Y_N_D_1,RPL32,27.040,1
C_Y_Y_N_E_1,WSP,22.571,1
C_Y_Y_N_E_1,WSP,22.802,1
C_Y_Y_N_E_1,RPL32,27.928,1
C_Y_Y_N_E_1,RPL32,27.988,1
L_N_Y_Y_A_1,WSP,20.029,1
L_N_Y_Y_A_1,WSP,20.144,1
L_N_Y_Y_A_1,RPL32,27.965,1
L_N_Y_Y_A_1,RPL32,28.110,1
L_N_Y_N_B_1,WSP,22.499,1
L_N_Y_N_B_1,WSP,22.527,1
L_N_Y_N_B_1,RPL32,25.987,1
L_N_Y_N_B_1,RPL32,25.983,1
L_N_Y_N_C_1,WSP,23.932,1
L_N_Y_N_C_1,WSP,23.828,1
L_N_Y_N_C_1,RPL32,27.622,1
L_N_Y_N_C_1,RPL32,27.549,1
L_N_Y_N_D_1,WSP,23.483,1
L_N_Y_N_D_1,WSP,23.535,1
L_N_Y_N_D_1,RPL32,25.951,1
L_N_Y_N_D_1,RPL32,25.848,1
L_N_Y_N_E_1,WSP,22.855,1
L_N_Y_N_E_1,WSP,22.968,1
L_N_Y_N_E_1,RPL32,27.293,1
L_N_Y_N_E_1,RPL32,27.113,1
L_N_Y_N_F_1,WSP,23.191,1
L_N_Y_N_F_1,WSP,23.311,1
L_N_Y_N_F_1,RPL32,26.627,1
L_N_Y_N_F_1,RPL32,26.653,1
L_N_Y_N_G_1,WSP,19.087,1
L_N_Y_N_G_1,WSP,19.106,1
L_N_Y_N_G_1,RPL32,26.347,1
L_N_Y_N_G_1,RPL32,26.178,1
L_N_Y_N_H_1,WSP,23.956,1
L_N_Y_N_H_1,WSP,23.810,1
L_N_Y_N_H_1,RPL32,28.172,1
L_N_Y_N_H_1,RPL32,28.368,1
L_N_Y_N_I_1,WSP,20.207,1
L_N_Y_N_I_1,WSP,20.172,1
L_N_Y_N_I_1,RPL32,28.854,1
L_N_Y_N_I_1,RPL32,28.548,1
C_Y_N_N_A_1,WSP,23.352,2
C_Y_N_N_A_1,WSP,23.353,2
C_Y_N_N_A_1,RPL32,26.373,2
C_Y_N_N_A_1,RPL32,26.367,2
C_Y_N_N_A_3,WSP,22.825,2
C_Y_N_N_A_3,WSP,22.798,2
C_Y_N_N_A_3,RPL32,26.181,2
