sample,gene,cts
wMelOctoless_1,WD0505,19.382
wMelOctoless_1,WD0505,19.25
wMelCS-b_1,WD0505,22.58
wMelCS-b_1,WD0505,22.374
wMelPop2_5,WD0505,19.98
wMelPop2_5,WD0505,19.895
wMelOctoless_1,WD0508,Undetermined
wMelOctoless_1,WD0508,Undetermined
wMelCS-b_1,WD0508,22.897
wMelCS-b_1,WD0508,22.711
wMelPop2_5,WD0508,16.876
wMelPop2_5,WD0508,16.934
wMelOctoless_1,WD0507,Undetermined
wMelOctoless_1,WD0507,Undetermined
wMelCS-b_1,WD0507,22.928
wMelCS-b_1,WD0507,22.83
wMelPop2_5,WD0507,17.28
wMelPop2_5,WD0507,17.065
wMelOctoless_1,WD0509,37.442
wMelOctoless_1,WD0509,35.402
wMelCS-b_1,WD0509,22.099
wMelCS-b_1,WD0509,22.139
wMelPop2_5,WD0509,16.41
wMelPop2_5,WD0509,16.495
wMelOctoless_2,WD0505,19.246
wMelOctoless_2,WD0505,19.122
wMelCS-b_2,WD0505,22.763
wMelCS-b_2,WD0505,22.74
wMelPop2_6,WD0505,20.268
wMelPop2_6,WD0505,20.179
wMelOctoless_2,WD0508,Undetermined
wMelOctoless_2,WD0508,Undetermined
wMelCS-b_2,WD0508,23.132
wMelCS-b_2,WD0508,22.874
wMelPop2_6,WD0508,17.191
wMelPop2_6,WD0508,17.393
wMelOctoless_2,WD0507,37.194
wMelOctoless_2,WD0507,Undetermined
wMelCS-b_2,WD0507,23.091
wMelCS-b_2,WD0507,22.972
wMelPop2_6,WD0507,17.254
wMelPop2_6,WD0507,17.245
wMelOctoless_2,WD0509,35.022
wMelOctoless_2,WD0509,37.001
wMelCS-b_2,WD0509,22.502
wMelCS-b_2,WD0509,22.326
wMelPop2_6,WD0509,16.714
wMelPop2_6,WD0509,16.909
wMelOctoless_3,WD0505,19.51
wMelOctoless_3,WD0505,19.48
wMelCS-b_3,WD0505,22.452
wMelCS-b_3,WD0505,22.424
wMelPop2_7,WD0505,19.698
wMelPop2_7,WD0505,19.693
wMelOctoless_3,WD0508,37.111
wMelOctoless_3,WD0508,Undetermined
wMelCS-b_3,WD0508,22.412
wMelCS-b_3,WD0508,22.284
wMelPop2_7,WD0508,17.083
wMelPop2_7,WD0508,16.892
wMelOctoless_3,WD0507,39.415
wMelOctoless_3,WD0507,Undetermined
wMelCS-b_3,WD0507,22.83
wMelCS-b_3,WD0507,22.737
wMelPop2_7,WD0507,17.01
