sample,gene,cts,generation
CSB_1,WD0513,19.675,3
CSB_1,WD0513,19.888,15
CSB_1,WD0513,19.962,14
CSB_1,WD0513,19.979,14
CSB_1,WD0513,20.205,15
CSB_1,WD0513,20.245,5
CSB_1,WD0513,20.248,17
CSB_1,WD0513,20.286,5
CSB_1,WD0513,20.455,17
CSB_1,WD0513,20.557,8
CSB_1,WD0513,20.567,24
CSB_1,WD0513,20.635,8
CSB_1,WD0513,20.712,24
CSB_1,WD0513,20.751,27
CSB_1,WD0513,20.812,27
CSB_1,WD0513,20.845,6
CSB_1,WD0513,20.847,6
CSB_1,WD0513,20.877,21
CSB_1,WD0513,20.917,21
CSB_1,WD0513,20.942,25
CSB_1,WD0513,21.011,25
CSB_1,WD0513,21.067,16
CSB_1,WD0513,21.105,13
CSB_1,WD0513,21.116,16
CSB_1,WD0513,21.12,13
CSB_1,WD0513,21.301,30
CSB_1,WD0513,21.303,30
CSB_1,WD0513,21.304,12
CSB_1,WD0513,21.327,26
CSB_1,WD0513,21.363,12
CSB_1,WD0513,21.468,28
CSB_1,WD0513,21.601,28
CSB_1,WD0513,21.685,23
CSB_1,WD0513,21.71,2
CSB_1,WD0513,21.756,23
CSB_1,WD0513,21.762,10
CSB_1,WD0513,21.805,1
CSB_1,WD0513,21.814,29
CSB_1,WD0513,21.816,10
CSB_1,WD0513,21.828,20
CSB_1,WD0513,21.843,1
CSB_1,WD0513,21.873,20
CSB_1,WD0513,21.89,2
CSB_1,WD0513,21.976,26
CSB_1,WD0513,22.014,4
CSB_1,WD0513,22.197,4
CSB_1,WD0513,22.209,9
CSB_1,WD0513,22.321,9
CSB_1,WD0513,22.371,7
CSB_1,WD0513,22.395,11
CSB_1,WD0513,22.415,11
CSB_1,WD0513,22.423,29
CSB_1,WD0513,22.48,22
CSB_1,WD0513,22.504,7
CSB_1,WD0513,22.749,22
CSB_1,WD0513,22.99,18
CSB_1,WD0513,23.215,18
CSB_1,WSP,20.852,14
CSB_1,WSP,20.911,14
CSB_1,WSP,21.164,5
CSB_1,WSP,21.188,5
CSB_1,WSP,21.229,26
CSB_1,WSP,21.294,20
CSB_1,WSP,21.304,23
CSB_1,WSP,21.322,23
CSB_1,WSP,21.427,9
CSB_1,WSP,21.444,24
CSB_1,WSP,21.476,24
CSB_1,WSP,21.493,9
CSB_1,WSP,21.539,6
CSB_1,WSP,21.551,20
CSB_1,WSP,21.574,21
CSB_1,WSP,21.641,21
CSB_1,WSP,21.656,6
CSB_1,WSP,21.762,26
CSB_1,WSP,21.791,15
CSB_1,WSP,21.908,2
CSB_1,WSP,21.917,15
CSB_1,WSP,21.948,8
CSB_1,WSP,21.948,28
CSB_1,WSP,21.961,8
CSB_1,WSP,21.975,27
CSB_1,WSP,21.982,28
CSB_1,WSP,22.063,2
CSB_1,WSP,22.091,27
CSB_1,WSP,22.216,11
CSB_1,WSP,22.291,11
CSB_1,WSP,22.333,29
CSB_1,WSP,22.389,3
CSB_1,WSP,22.406,13
CSB_1,WSP,22.424,13
CSB_1,WSP,22.431,16
CSB_1,WSP,22.501,29
CSB_1,WSP,22.512,16
CSB_1,WSP,22.563,3
CSB_1,WSP,22.581,12
CSB_1,WSP,22.594,17
CSB_1,WSP,22.687,12
CSB_1,WSP,22.696,17
CSB_1,WSP,22.758,18
CSB_1,WSP,22.873,18
CSB_1,WSP,22.923,30
CSB_1,WSP,22.96,25
CSB_1,WSP,23.014,25
CSB_1,WSP,23.11,30
CSB_1,WSP,23.233,7
CSB_1,WSP,23.304,7
CSB_1,WSP,23.405,1
CSB_1,WSP,23.455,4
CSB_1,WSP,23.495,22
CSB_1,WSP,23.536,4
CSB_1,WSP,23.537,1
CSB_1,WSP,23.604,22
CSB_1,WSP,23.934,10
CSB_1,WSP,24.008,10
CSB_10,WD0513,19.938,6
CSB_10,WD0513,19.98,5
CSB_10,WD0513,20.138,6
CSB_10,WD0513,20.208,5
CSB_10,WD0513,20.426,30
CSB_10,WD0513,20.547,10
CSB_10,WD0513,20.562,8
CSB_10,WD0513,20.562,21
CSB_10,WD0513,20.565,8
CSB_10,WD0513,20.573,10
CSB_10,WD0513,20.574,30
CSB_10,WD0513,20.613,3
CSB_10,WD0513,20.669,21
CSB_10,WD0513,20.695,3
CSB_10,WD0513,20.765,27
CSB_10,WD0513,20.788,27
CSB_10,WD0513,20.955,16
CSB_10,WD0513,21.189,17
CSB_10,WD0513,21.235,17
CSB_10,WD0513,21.253,28
CSB_10,WD0513,21.337,16
CSB_10,WD0513,21.441,28
CSB_10,WD0513,21.477,20
CSB_10,WD0513,21.55,11
CSB_10,WD0513,21.597,20
CSB_10,WD0513,21.599,29
CSB_10,WD0513,21.641,23
CSB_10,WD0513,21.659,26
CSB_10,WD0513,21.686,25
CSB_10,WD0513,21.692,29
CSB_10,WD0513,21.741,11
CSB_10,WD0513,21.796,23
CSB_10,WD0513,21.883,26
CSB_10,WD0513,21.891,4
CSB_10,WD0513,21.893,25
CSB_10,WD0513,21.972,18
CSB_10,WD0513,22.075,4
CSB_10,WD0513,22.205,19
CSB_10,WD0513,22.245,18
CSB_10,WD0513,22.25,19
CSB_10,WD0513,22.335,9
CSB_10,WD0513,22.453,7
CSB_10,WD0513,22.496,7
CSB_10,WD0513,22.53,9
CSB_10,WSP,20.75,6
CSB_10,WSP,20.8,20
CSB_10,WSP,20.838,6
CSB_10,WSP,20.937,5
CSB_10,WSP,21.003,20
CSB_10,WSP,21.067,5
CSB_10,WSP,21.265,21
CSB_10,WSP,21.297,26
CSB_10,WSP,21.328,23
CSB_10,WSP,21.421,26
CSB_10,WSP,21.428,21
CSB_10,WSP,21.448,23
CSB_10,WSP,21.501,11
CSB_10,WSP,21.539,11
CSB_10,WSP,21.562,19
CSB_10,WSP,21.674,19
CSB_10,WSP,21.764,9
CSB_10,WSP,21.84,27
CSB_10,WSP,21.866,9
CSB_10,WSP,21.934,29
CSB_10,WSP,21.938,28
CSB_10,WSP,21.959,27
CSB_10,WSP,22.002,8
CSB_10,WSP,22.087,28
CSB_10,WSP,22.132,8
CSB_10,WSP,22.153,30
CSB_10,WSP,22.184,30
CSB_10,WSP,22.415,18
CSB_10,WSP,22.467,29
CSB_10,WSP,22.512,16
CSB_10,WSP,22.585,16
CSB_10,WSP,22.693,10
