gene,cts,sample,plate,experimental_replicate,temperature
WSP,26.941,POP2L_A_10,1,1,18
WSP,23.828,POP2H_C_1,1,1,18
WSP,26.895,POP2L_B_2,1,1,18
WSP,26.847,POP2L_B_2,1,1,18
WSP,23.225,POP2L_F_2,1,1,18
WSP,23.249,POP2L_F_2,1,1,18
WSP,22.295,POP2H_D_2,1,1,18
WSP,22.586,POP2H_D_2,1,1,18
WSP,25.99,CSB_A_2,1,1,18
WSP,25.978,CSB_A_2,1,1,18
WSP,24.278,OCTO_B_1,1,1,18
WSP,27.1,POP2L_A_10,1,1,18
WSP,24.328,OCTO_B_1,1,1,18
WSP,23.097,OCTO_B_2,1,1,18
WSP,23.244,OCTO_B_2,1,1,18
WSP,24.865,POPH_B_1,1,1,18
WSP,24.853,POPH_B_1,1,1,18
WSP,22.55,POP2H_D_10,1,1,18
WSP,22.754,POP2H_D_10,1,1,18
WSP,24.189,POPH_C_9,1,1,18
WSP,24.253,POPH_C_9,1,1,18
WSP,26.13,CSB_C_1,1,1,18
WSP,26.18,CSB_C_1,1,1,18
WSP,23.879,POP2H_C_1,1,1,18
RPL32,27.173,POP2L_A_10,1,1,18
RPL32,27.283,POP2H_C_1,1,1,18
RPL32,27.28,POP2L_B_2,1,1,18
RPL32,27.53,POP2L_B_2,1,1,18
RPL32,27.247,POP2L_F_2,1,1,18
RPL32,27.111,POP2L_F_2,1,1,18
RPL32,27.601,POP2H_D_2,1,1,18
RPL32,27.488,POP2H_D_2,1,1,18
RPL32,26.051,CSB_A_2,1,1,18
RPL32,26.54,CSB_A_2,1,1,18
RPL32,27.555,OCTO_B_1,1,1,18
RPL32,26.972,POP2L_A_10,1,1,18
RPL32,27.446,OCTO_B_1,1,1,18
RPL32,27.248,OCTO_B_2,1,1,18
RPL32,27.384,OCTO_B_2,1,1,18
RPL32,27.551,POPH_B_1,1,1,18
RPL32,27.633,POPH_B_1,1,1,18
RPL32,27.459,POP2H_D_10,1,1,18
RPL32,27.121,POP2H_D_10,1,1,18
RPL32,27.617,POPH_C_9,1,1,18
RPL32,27.384,POPH_C_9,1,1,18
RPL32,27.909,CSB_C_1,1,1,18
RPL32,27.536,CSB_C_1,1,1,18
RPL32,26.875,POP2H_C_1,1,1,18
WSP,26.681,POPL_B_2,1,1,18
WSP,22.533,POPL_F_1,1,1,18
WSP,22.27,POPL_D_2,1,1,18
WSP,22.276,POPL_D_2,1,1,18
WSP,24.202,POPL_F_2,1,1,18
WSP,23.976,POPL_F_2,1,1,18
WSP,26.58,CSB_B_2,1,1,18
WSP,26.823,CSB_B_2,1,1,18
WSP,26.363,POP2L_A_1,1,1,18
WSP,26.484,POP2L_A_1,1,1,18
WSP,22.536,POP2H_C_2,1,1,18
WSP,26.802,POPL_B_2,1,1,18
WSP,22.482,POP2H_C_2,1,1,18
WSP,26.616,POPL_A_9,1,1,18
WSP,26.806,POPL_A_9,1,1,18
WSP,20.824,POP2H_F_2,1,1,18
WSP,21.042,POP2H_F_2,1,1,18
WSP,25.899,POPL_C_2,1,1,18
WSP,25.965,POPL_C_2,1,1,18
WSP,25.977,POPL_B_1,1,1,18
WSP,25.827,POPL_B_1,1,1,18
WSP,26.405,CSB_A_9,1,1,18
WSP,26.56,CSB_A_9,1,1,18
WSP,22.546,POPL_F_1,1,1,18
RPL32,27.64,POPL_B_2,1,1,18
RPL32,27.231,POPL_F_1,1,1,18
RPL32,27.508,POPL_D_2,1,1,18
RPL32,27.284,POPL_D_2,1,1,18
RPL32,27.832,POPL_F_2,1,1,18
RPL32,27.353,POPL_F_2,1,1,18
RPL32,27.46,CSB_B_2,1,1,18
RPL32,27.261,CSB_B_2,1,1,18
RPL32,27.151,POP2L_A_1,1,1,18
RPL32,26.889,POP2L_A_1,1,1,18
RPL32,27.385,POP2H_C_2,1,1,18
RPL32,27.633,POPL_B_2,1,1,18
RPL32,27.147,POP2H_C_2,1,1,18
RPL32,26.951,POPL_A_9,1,1,18
RPL32,26.93,POPL_A_9,1,1,18
RPL32,27.724,POP2H_F_2,1,1,18
RPL32,27.575,POP2H_F_2,1,1,18
RPL32,27.507,POPL_C_2,1,1,18
RPL32,27.403,POPL_C_2,1,1,18
RPL32,27.494,POPL_B_1,1,1,18
RPL32,27.685,POPL_B_1,1,1,18
RPL32,26.995,CSB_A_9,1,1,18
RPL32,26.813,CSB_A_9,1,1,18
RPL32,27.071,POPL_F_1,1,1,18
WSP,24.702,OCTO_A_1,1,1,18
WSP,23.283,POPL_E_2,1,1,18
WSP,23.994,POP2L_F_1,1,1,18
WSP,23.91,POP2L_F_1,1,1,18
WSP,25.068,OCTO_A_2,1,1,18
WSP,24.723,OCTO_A_2,1,1,18
WSP,20.365,OCTO_E_1,1,1,18
WSP,20.606,OCTO_E_1,1,1,18
WSP,27.504,CSB_C_2,1,1,18
WSP,27.63,CSB_C_2,1,1,18
WSP,24.248,CSB_F_2,1,1,18
WSP,24.502,OCTO_A_1,1,1,18
WSP,24.526,CSB_F_2,1,1,18
WSP,19.712,OCTO_E_2,1,1,18
WSP,19.905,OCTO_E_2,1,1,18
WSP,25.743,CSB-REF_A_1,1,1,18
WSP,25.976,CSB-REF_A_1,1,1,18
WSP,22.171,POPH_F_2,1,1,18
WSP,21.909,POPH_F_2,1,1,18
WSP,21.867,POP2H_E_1,1,1,18
WSP,21.746,POP2H_E_1,1,1,18
WSP,23.236,OCTO_C_2,1,1,18
WSP,23.203,OCTO_C_2,1,1,18
WSP,23.468,POPL_E_2,1,1,18
RPL32,26.642,OCTO_A_1,1,1,18
RPL32,27.219,POPL_E_2,1,1,18
RPL32,27.238,POP2L_F_1,1,1,18
RPL32,27.288,POP2L_F_1,1,1,18
RPL32,27.134,OCTO_A_2,1,1,18
RPL32,26.017,OCTO_A_2,1,1,18
RPL32,27.426,OCTO_E_1,1,1,18
RPL32,27.241,OCTO_E_1,1,1,18
RPL32,27.435,CSB_C_2,1,1,18
RPL32,27.075,CSB_C_2,1,1,18
RPL32,27.237,CSB_F_2,1,1,18
RPL32,26.778,OCTO_A_1,1,1,18
RPL32,27.309,CSB_F_2,1,1,18
RPL32,27.381,OCTO_E_2,1,1,18
RPL32,27.272,OCTO_E_2,1,1,18
RPL32,26.815,CSB-REF_A_1,1,1,18
RPL32,26.66,CSB-REF_A_1,1,1,18
RPL32,27.552,POPH_F_2,1,1,18
RPL32,27.218,POPH_F_2,1,1,18
RPL32,27.317,POP2H_E_1,1,1,18
RPL32,27.36,POP2H_E_1,1,1,18
RPL32,27.415,OCTO_C_2,1,1,18
RPL32,27.397,OCTO_C_2,1,1,18
RPL32,27.117,POPL_E_2,1,1,18
WSP,24.47,POP2H_B_2,1,1,18
WSP,24.705,POP2H_B_1,1,1,18
WSP,22.499,POPH_E_2,1,1,18
WSP,22.549,POPH_E_2,1,1,18
WSP,25.761,CSB_F_10,1,1,18
WSP,25.613,CSB_F_10,1,1,18
WSP,23.358,POPH_C_1,1,1,18
WSP,23.472,POPH_C_1,1,1,18
WSP,24.627,CSB_F_1,1,1,18
WSP,24.775,CSB_F_1,1,1,18
WSP,25.596,POP2L_B_1,1,1,18
WSP,24.445,POP2H_B_2,1,1,18
WSP,25.831,POP2L_B_1,1,1,18
WSP,24.892,POP2L_E_2,1,1,18
WSP,24.688,POP2L_E_2,1,1,18
WSP,25.725,CSB-REF_A_2,1,1,18
WSP,25.678,CSB-REF_A_2,1,1,18
WSP,25.915,CSB_D_2,1,1,18
WSP,25.923,CSB_D_2,1,1,18
WSP,25.591,CSB_D_1,1,1,18
WSP,25.545,CSB_D_1,1,1,18
WSP,20.031,OCTO_F_1,1,1,18
WSP,20.27,OCTO_F_1,1,1,18
WSP,24.743,POP2H_B_1,1,1,18
RPL32,27.237,POP2H_B_2,1,1,18
RPL32,27.611,POP2H_B_1,1,1,18
RPL32,27.461,POPH_E_2,1,1,18
RPL32,27.225,POPH_E_2,1,1,18
RPL32,27.636,CSB_F_10,1,1,18
RPL32,27.771,CSB_F_10,1,1,18
RPL32,27.723,POPH_C_1,1,1,18
RPL32,27.932,POPH_C_1,1,1,18
RPL32,27.83,CSB_F_1,1,1,18
RPL32,27.467,CSB_F_1,1,1,18
RPL32,27.981,POP2L_B_1,1,1,18
RPL32,27.163,POP2H_B_2,1,1,18
RPL32,27.914,POP2L_B_1,1,1,18
RPL32,27.866,POP2L_E_2,1,1,18
RPL32,27.706,POP2L_E_2,1,1,18
RPL32,26.751,CSB-REF_A_2,1,1,18
RPL32,26.601,CSB-REF_A_2,1,1,18
RPL32,27.502,CSB_D_2,1,1,18
RPL32,27.325,CSB_D_2,1,1,18
RPL32,27.351,CSB_D_1,1,1,18
RPL32,27.33,CSB_D_1,1,1,18
RPL32,27.414,OCTO_F_1,1,1,18
RPL32,27.501,OCTO_F_1,1,1,18
RPL32,27.59,POP2H_B_1,1,1,18
WSP,26.2,CSB_A_1,1,1,18
WSP,24.224,POPH_A_1,1,1,18
WSP,20.231,OCTO_D_9,1,1,18
WSP,20.158,OCTO_D_9,1,1,18
WSP,22.098,POPH_F_1,1,1,18
WSP,21.927,POPH_F_1,1,1,18
WSP,23.01,POP2H_D_1,1,1,18
WSP,23.057,POP2H_D_1,1,1,18
WSP,25.85,POP2H_A_2,1,1,18
WSP,25.809,POP2H_A_2,1,1,18
WSP,25.524,CSB_E_2,1,1,18
WSP,26.244,CSB_A_1,1,1,18
WSP,25.635,CSB_E_2,1,1,18
WSP,22.726,POPL_D_1,1,1,18
WSP,22.55,POPL_D_1,1,1,18
WSP,28.091,CSB-REF_A_3,1,1,18
WSP,28.152,CSB-REF_A_3,1,1,18
WSP,22.624,OCTO_C_9,1,1,18
WSP,22.519,OCTO_C_9,1,1,18
WSP,22.445,POP2H_F_1,1,1,18
WSP,22.321,POP2H_F_1,1,1,18
WSP,22.385,OCTO_C_1,1,1,18
WSP,22.587,OCTO_C_1,1,1,18
WSP,24.14,POPH_A_1,1,1,18
RPL32,26.817,CSB_A_1,1,1,18
RPL32,26.985,POPH_A_1,1,1,18
RPL32,27.175,OCTO_D_9,1,1,18
RPL32,27.12,OCTO_D_9,1,1,18
RPL32,27.867,POPH_F_1,1,1,18
RPL32,27.98,POPH_F_1,1,1,18
RPL32,27.944,POP2H_D_1,1,1,18
RPL32,27.609,POP2H_D_1,1,1,18
RPL32,27.057,POP2H_A_2,1,1,18
RPL32,26.751,POP2H_A_2,1,1,18
RPL32,27.606,CSB_E_2,1,1,18
RPL32,26.862,CSB_A_1,1,1,18
RPL32,27.593,CSB_E_2,1,1,18
RPL32,27.652,POPL_D_1,1,1,18
RPL32,27.707,POPL_D_1,1,1,18
RPL32,26.994,CSB-REF_A_3,1,1,18
RPL32,27.037,CSB-REF_A_3,1,1,18
RPL32,27.264,OCTO_C_9,1,1,18
RPL32,27.112,OCTO_C_9,1,1,18
RPL32,27.141,POP2H_F_1,1,1,18
RPL32,27.586,POP2H_F_1,1,1,18
RPL32,27.509,OCTO_C_1,1,1,18
RPL32,27.455,OCTO_C_1,1,1,18
RPL32,27.229,POPH_A_1,1,1,18
WSP,22.792,POPL_F_10,1,1,18
WSP,25.813,POP2L_C_2,1,1,18
WSP,21.506,POPH_E_1,1,1,18
WSP,21.565,POPH_E_1,1,1,18
WSP,24.583,POPL_E_1,1,1,18
WSP,24.636,POPL_E_1,1,1,18
WSP,22.232,POPH_D_9,1,1,18
WSP,22.294,POPH_D_9,1,1,18
WSP,27.048,POPH_A_2,1,1,18
WSP,26.817,POPH_A_2,1,1,18
WSP,26.15,POP2L_A_2,1,1,18
WSP,22.638,POPL_F_10,1,1,18
WSP,26.119,POP2L_A_2,1,1,18
WSP,24.486,POP2H_A_1,1,1,18
WSP,24.55,POP2H_A_1,1,1,18
WSP,28.311,CSB-REF_A_4,1,1,18
WSP,28.444,CSB-REF_A_4,1,1,18
WSP,24.413,POP2L_E_9,1,1,18
WSP,24.281,POP2L_E_9,1,1,18
WSP,20.772,OCTO_D_2,1,1,18
WSP,20.679,OCTO_D_2,1,1,18
WSP,25.135,CSB_E_10,1,1,18
