sample,gene,cts,experimental_replicate
CSB_7,WSP,22.120,1
CSB_7,WSP,22.098,1
CSB_7,WD0513,20.922,1
CSB_7,WD0513,21.132,1
CSB_1,WSP,21.444,1
CSB_1,WSP,21.476,1
CSB_1,WD0513,20.712,1
CSB_1,WD0513,20.567,1
CSB_2,WSP,22.243,1
CSB_2,WSP,22.202,1
CSB_2,WD0513,21.202,1
CSB_2,WD0513,21.232,1
CSB_8,WSP,21.358,1
CSB_8,WSP,21.386,1
CSB_8,WD0513,20.488,1
CSB_8,WD0513,20.525,1
CSB_9,WSP,21.611,1
CSB_9,WSP,21.469,1
CSB_9,WD0513,20.507,1
CSB_9,WD0513,20.499,1
CSB_6,WSP,21.488,1
CSB_6,WSP,21.454,1
CSB_6,WD0513,20.328,1
CSB_6,WD0513,20.359,1
POP2_10,WSP,19.649,1
POP2_10,WSP,19.586,1
POP2_10,WD0513,16.932,1
POP2_10,WD0513,16.847,1
POP2_3,WSP,19.904,1
POP2_3,WSP,19.878,1
POP2_3,WD0513,17.444,1
POP2_3,WD0513,17.274,1
POP2_5,WSP,20.190,1
POP2_5,WSP,20.239,1
POP2_5,WD0513,17.552,1
POP2_5,WD0513,17.597,1
POP2_6,WSP,19.736,1
POP2_6,WSP,19.650,1
POP2_6,WD0513,17.261,1
POP2_6,WD0513,17.257,1
POP2_7,WSP,19.408,1
POP2_7,WSP,19.416,1
POP2_7,WD0513,16.733,1
POP2_7,WD0513,16.755,1
POP2_8,WSP,19.345,1
POP2_8,WSP,19.198,1
POP2_8,WD0513,16.565,1
POP2_8,WD0513,16.779,1
POP_4,WSP,19.686,1
POP_4,WSP,19.686,1
POP_4,WD0513,17.318,1
POP_4,WD0513,17.228,1
POP_1,WSP,19.724,1
POP_1,WSP,19.646,1
POP_1,WD0513,16.904,1
POP_1,WD0513,17.301,1
POP_2,WSP,20.325,1
POP_2,WSP,20.270,1
POP_8,WSP,20.351,1
POP_8,WSP,19.815,1
POP_2,WD0513,17.525,1
POP_2,WD0513,17.700,1
POP_8,WD0513,17.441,1
POP_8,WD0513,17.290,1
POP_10,WSP,20.344,1
POP_10,WSP,20.292,1
POP_5,WSP,19.087,1
POP_5,WSP,18.854,1
POP_10,WD0513,17.702,1
POP_10,WD0513,17.751,1
POP_5,WD0513,16.384,1
POP_5,WD0513,16.414,1
CSB_10,WSP,21.938,2
CSB_10,WSP,22.087,2
CSB_10,WD0513,21.441,2
CSB_10,WD0513,21.253,2
CSB_8,WSP,21.981,2
CSB_8,WSP,22.073,2
CSB_4,WSP,22.003,2
CSB_4,WSP,21.882,2
CSB_8,WD0513,21.132,2
CSB_8,WD0513,21.398,2
CSB_4,WD0513,21.373,2
CSB_4,WD0513,21.272,2
CSB_9,WSP,22.099,2
CSB_9,WSP,21.892,2
CSB_9,WD0513,20.875,2
CSB_9,WD0513,21.252,2
CSB_3,WSP,22.188,2
CSB_3,WSP,22.067,2
CSB_3,WD0513,21.273,2
CSB_3,WD0513,21.450,2
CSB_7,WSP,22.109,2
CSB_7,WSP,22.217,2
CSB_7,WD0513,21.457,2
CSB_7,WD0513,21.617,2
POP2_8,WSP,20.116,2
POP2_8,WSP,20.000,2
POP2_8,WD0513,17.691,2
POP2_8,WD0513,17.512,2
POP2_10,WSP,19.889,2
POP2_10,WSP,19.792,2
POP2_9,WSP,19.709,2
POP2_9,WSP,19.709,2
POP2_1,WSP,20.317,2
POP2_1,WSP,20.449,2
POP2_10,WD0513,17.501,2
POP2_10,WD0513,17.532,2
POP2_9,WD0513,17.326,2
POP2_9,WD0513,17.526,2
POP2_1,WD0513,17.911,2
POP2_1,WD0513,18.247,2
POP2_5,WSP,20.292,2
POP2_5,WSP,20.257,2
POP2_5,WD0513,17.872,2
POP2_5,WD0513,17.939,2
POP2_4,WSP,20.618,2
POP2_4,WSP,20.536,2
POP2_6,WSP,20.204,2
POP2_6,WSP,20.144,2
POP2_4,WD0513,18.336,2
POP2_4,WD0513,18.232,2
POP2_6,WD0513,17.827,2
POP2_6,WD0513,17.765,2
POP_8,WSP,20.406,2
POP_8,WSP,20.064,2
POP_8,WD0513,17.844,2
POP_8,WD0513,17.704,2
POP_2,WSP,19.597,2
POP_2,WSP,19.597,2
POP_2,WD0513,17.203,2
POP_2,WD0513,17.331,2
POP_6,WSP,20.121,2
POP_6,WSP,20.001,2
POP_6,WD0513,17.743,2
POP_6,WD0513,17.685,2
POP_7,WSP,20.746,2
POP_7,WSP,20.281,2
POP_7,WD0513,18.159,2
POP_7,WD0513,18.003,2
POP_1,WSP,20.371,2
POP_1,WSP,20.310,2
POP_1,WD0513,18.168,2
POP_1,WD0513,18.092,2
