gene,cts,sample,plate,experimental_replicate
WSP,24.53,POP_A_2,plate_1,1
WSP,23.326,CSB_C_9,plate_1,1
WSP,22.483,POP_B_9,plate_1,1
WSP,22.266,POP_B_9,plate_1,1
WSP,19.227,POP_C_9,plate_1,1
WSP,18.99,POP_C_9,plate_1,1
WSP,24.711,CSB-REF_A_1,plate_1,1
WSP,24.91,CSB-REF_A_1,plate_1,1
WSP,24.36,POP_A_2,plate_1,1
WSP,24.379,CSB_A_9,plate_1,1
WSP,24.488,CSB_A_9,plate_1,1
WSP,24.111,CSB_C_4,plate_1,1
WSP,23.843,CSB_C_4,plate_1,1
WSP,22.685,CSB_E_8,plate_1,1
WSP,22.63,CSB_E_8,plate_1,1
WSP,23.315,CSB_C_9,plate_1,1
RPL32,27.439,POP_A_2,plate_1,1
RPL32,27.124,CSB_C_9,plate_1,1
RPL32,27.247,POP_B_9,plate_1,1
RPL32,27.295,POP_B_9,plate_1,1
RPL32,27.858,POP_C_9,plate_1,1
RPL32,28.247,POP_C_9,plate_1,1
RPL32,27.329,CSB-REF_A_1,plate_1,1
RPL32,27.124,CSB-REF_A_1,plate_1,1
RPL32,27.206,POP_A_2,plate_1,1
RPL32,26.837,CSB_A_9,plate_1,1
RPL32,26.924,CSB_A_9,plate_1,1
RPL32,27.902,CSB_C_4,plate_1,1
RPL32,28.014,CSB_C_4,plate_1,1
RPL32,27.101,CSB_E_8,plate_1,1
RPL32,27.255,CSB_E_8,plate_1,1
RPL32,27.369,CSB_C_9,plate_1,1
WSP,23.847,CSB_E_7,plate_1,1
WSP,23.68,CSB_D_2,plate_1,1
WSP,23.542,CSB_C_2,plate_1,1
WSP,23.363,CSB_C_2,plate_1,1
WSP,19.335,POP_C_3,plate_1,1
WSP,19.223,POP_C_3,plate_1,1
WSP,25.422,CSB-REF_A_2,plate_1,1
WSP,25.54,CSB-REF_A_2,plate_1,1
WSP,23.851,CSB_E_7,plate_1,1
WSP,21.825,POP2_B_9,plate_1,1
WSP,21.642,POP2_B_9,plate_1,1
WSP,23.16,CSB_C_6,plate_1,1
WSP,22.908,CSB_C_6,plate_1,1
WSP,23.197,CSB_C_10,plate_1,1
WSP,23.165,CSB_C_10,plate_1,1
WSP,23.779,CSB_D_2,plate_1,1
RPL32,27.972,CSB_E_7,plate_1,1
RPL32,27.374,CSB_D_2,plate_1,1
RPL32,27.545,CSB_C_2,plate_1,1
RPL32,27.331,CSB_C_2,plate_1,1
RPL32,27.088,POP_C_3,plate_1,1
RPL32,27.395,POP_C_3,plate_1,1
RPL32,26.996,CSB-REF_A_2,plate_1,1
RPL32,26.985,CSB-REF_A_2,plate_1,1
RPL32,27.909,CSB_E_7,plate_1,1
RPL32,27.335,POP2_B_9,plate_1,1
RPL32,27.525,POP2_B_9,plate_1,1
RPL32,27.607,CSB_C_6,plate_1,1
RPL32,27.59,CSB_C_6,plate_1,1
RPL32,27.694,CSB_C_10,plate_1,1
RPL32,27.514,CSB_C_10,plate_1,1
RPL32,27.585,CSB_D_2,plate_1,1
WSP,21.55,POP2_B_5,plate_1,1
WSP,23.362,POP2_A_6,plate_1,1
WSP,18.304,POP2_C_9,plate_1,1
WSP,18.255,POP2_C_9,plate_1,1
WSP,23.854,POP2_A_4,plate_1,1
WSP,23.685,POP2_A_4,plate_1,1
WSP,24.83,CSB-REF_A_3,plate_1,1
WSP,24.919,CSB-REF_A_3,plate_1,1
WSP,21.615,POP2_B_5,plate_1,1
WSP,19.13,POP2_C_6,plate_1,1
WSP,19.167,POP2_C_6,plate_1,1
WSP,23.324,POP_A_5,plate_1,1
WSP,23.294,POP_A_5,plate_1,1
WSP,24.431,POP_A_7,plate_1,1
WSP,24.453,POP_A_7,plate_1,1
WSP,23.126,POP2_A_6,plate_1,1
RPL32,27.709,POP2_B_5,plate_1,1
RPL32,27.233,POP2_A_6,plate_1,1
RPL32,27.591,POP2_C_9,plate_1,1
RPL32,26.986,POP2_C_9,plate_1,1
RPL32,26.802,POP2_A_4,plate_1,1
RPL32,26.219,POP2_A_4,plate_1,1
RPL32,26.824,CSB-REF_A_3,plate_1,1
RPL32,26.91,CSB-REF_A_3,plate_1,1
RPL32,27.858,POP2_B_5,plate_1,1
RPL32,27.645,POP2_C_6,plate_1,1
RPL32,27.615,POP2_C_6,plate_1,1
RPL32,26.94,POP_A_5,plate_1,1
RPL32,27.033,POP_A_5,plate_1,1
RPL32,26.873,POP_A_7,plate_1,1
RPL32,26.788,POP_A_7,plate_1,1
RPL32,27.43,POP2_A_6,plate_1,1
WSP,22.308,CSB_B_2,plate_1,1
WSP,23.744,POP2_A_5,plate_1,1
WSP,19.444,POP_C_1,plate_1,1
WSP,19.27,POP_C_1,plate_1,1
WSP,21.981,CSB_E_9,plate_1,1
WSP,22.141,CSB_E_9,plate_1,1
WSP,24.272,CSB-REF_A_4,plate_1,1
WSP,24.685,CSB-REF_A_4,plate_1,1
WSP,22.327,CSB_B_2,plate_1,1
WSP,19.733,POP_C_5,plate_1,1
WSP,19.76,POP_C_5,plate_1,1
WSP,24.423,CSB_B_8,plate_1,1
WSP,24.382,CSB_B_8,plate_1,1
WSP,22.217,POP2_B_10,plate_1,1
WSP,22.17,POP2_B_10,plate_1,1
WSP,24.118,POP2_A_5,plate_1,1
RPL32,27.132,CSB_B_2,plate_1,1
RPL32,26.646,POP2_A_5,plate_1,1
RPL32,26.812,POP_C_1,plate_1,1
RPL32,26.894,POP_C_1,plate_1,1
RPL32,27.049,CSB_E_9,plate_1,1
RPL32,27.654,CSB_E_9,plate_1,1
RPL32,27.018,CSB-REF_A_4,plate_1,1
RPL32,26.962,CSB-REF_A_4,plate_1,1
RPL32,27.025,CSB_B_2,plate_1,1
RPL32,27.639,POP_C_5,plate_1,1
RPL32,27.471,POP_C_5,plate_1,1
RPL32,27.371,CSB_B_8,plate_1,1
RPL32,27.558,CSB_B_8,plate_1,1
RPL32,27.524,POP2_B_10,plate_1,1
RPL32,27.761,POP2_B_10,plate_1,1
RPL32,26.985,POP2_A_5,plate_1,1
WSP,22.212,POP_B_2,plate_1,1
WSP,23.58,CSB_B_3,plate_1,1
WSP,19.579,POP_C_2,plate_1,1
WSP,19.108,POP_C_2,plate_1,1
WSP,22.05,POP2_B_1,plate_1,1
WSP,22.001,POP2_B_1,plate_1,1
WSP,25.552,CSB-REF_A_5,plate_1,1
WSP,26.153,CSB-REF_A_5,plate_1,1
WSP,22.19,POP_B_2,plate_1,1
WSP,18.898,POP2_C_5,plate_1,1
WSP,18.794,POP2_C_5,plate_1,1
WSP,23.458,CSB_D_5,plate_1,1
WSP,23.438,CSB_D_5,plate_1,1
WSP,22.88,POP_B_4,plate_1,1
WSP,22.526,POP_B_4,plate_1,1
WSP,23.43,CSB_B_3,plate_1,1
RPL32,27.7,POP_B_2,plate_1,1
RPL32,27.841,CSB_B_3,plate_1,1
RPL32,26.964,POP_C_2,plate_1,1
RPL32,25.945,POP_C_2,plate_1,1
RPL32,27.899,POP2_B_1,plate_1,1
RPL32,27.779,POP2_B_1,plate_1,1
RPL32,27.599,CSB-REF_A_5,plate_1,1
RPL32,27.485,CSB-REF_A_5,plate_1,1
RPL32,27.564,POP_B_2,plate_1,1
RPL32,27.332,POP2_C_5,plate_1,1
RPL32,27.374,POP2_C_5,plate_1,1
RPL32,27.408,CSB_D_5,plate_1,1
RPL32,27.517,CSB_D_5,plate_1,1
RPL32,27.557,POP_B_4,plate_1,1
RPL32,27.595,POP_B_4,plate_1,1
RPL32,27.87,CSB_B_3,plate_1,1
WSP,25.117,CSB_A_10,plate_1,1
WSP,25.391,CSB_A_3,plate_1,1
WSP,21.751,POP_B_7,plate_1,1
WSP,21.837,POP_B_7,plate_1,1
WSP,23.79,CSB_D_6,plate_1,1
WSP,23.499,CSB_D_6,plate_1,1
WSP,24.567,CSB-REF_A_6,plate_1,1
WSP,24.858,CSB-REF_A_6,plate_1,1
WSP,25.103,CSB_A_10,plate_1,1
WSP,23.502,POP2_A_7,plate_1,1
WSP,23.493,POP2_A_7,plate_1,1
WSP,23.263,CSB_E_6,plate_1,1
WSP,23.126,CSB_E_6,plate_1,1
WSP,18.51,POP2_C_4,plate_1,1
WSP,18.55,POP2_C_4,plate_1,1
WSP,25.423,CSB_A_3,plate_1,1
RPL32,27.63,CSB_A_10,plate_1,1
RPL32,27.082,CSB_A_3,plate_1,1
RPL32,27.579,POP_B_7,plate_1,1
RPL32,27.121,POP_B_7,plate_1,1
RPL32,27.773,CSB_D_6,plate_1,1
RPL32,27.664,CSB_D_6,plate_1,1
RPL32,27.555,CSB-REF_A_6,plate_1,1
RPL32,27.286,CSB-REF_A_6,plate_1,1
RPL32,27.826,CSB_A_10,plate_1,1
RPL32,27.021,POP2_A_7,plate_1,1
RPL32,26.876,POP2_A_7,plate_1,1
RPL32,27.632,CSB_E_6,plate_1,1
RPL32,27.895,CSB_E_6,plate_1,1
RPL32,27.748,POP2_C_4,plate_1,1
RPL32,27.535,POP2_C_4,plate_1,1
RPL32,27.11,CSB_A_3,plate_1,1
WSP,25.422,CSB_A_2,plate_1,1
WSP,23.484,POP_A_10,plate_1,1
WSP,23.737,CSB_B_1,plate_1,1
WSP,23.417,CSB_B_1,plate_1,1
WSP,22.841,CSB_D_1,plate_1,1
WSP,23.242,CSB_D_1,plate_1,1
WSP,24.994,CSB-REF_A_7,plate_1,1
WSP,24.914,CSB-REF_A_7,plate_1,1
WSP,25.42,CSB_A_2,plate_1,1
WSP,21.826,POP2_B_4,plate_1,1
WSP,21.417,POP2_B_4,plate_1,1
WSP,25.004,CSB_A_7,plate_1,1
WSP,25.159,CSB_A_7,plate_1,1
WSP,24.88,CSB_B_9,plate_1,1
