day,unique_id,status,wolbachia,sex,experimental_replicate,replicate
43,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
46,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
52,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
52,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
52,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
53,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
53,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
57,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
60,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
61,wMelCS_b_Male_1_1,1,wMelCS_b,Male,1,1
48,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
51,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
52,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
53,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
57,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
59,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
59,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
63,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
64,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
65,wMelCS_b_Male_1_2,1,wMelCS_b,Male,1,2
51,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
52,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
59,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
59,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
59,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
59,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
63,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
63,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
63,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
64,wMelCS_b_Male_1_3,1,wMelCS_b,Male,1,3
53,wMelCS_b_Male_1_4,1,wMelCS_b,Male,1,4
53,wMelCS_b_Male_1_4,1,wMelCS_b,Male,1,4
56,wMelCS_b_Male_1_4,1,wMelCS_b,Male,1,4
56,wMelCS_b_Male_1_4,1,wMelCS_b,Male,1,4
