sample,gene,cts,plate
CSB_D_3,WSP,25.78,plate1
POP2_G_4,WSP,23.825,plate1
CSB_A_10,WSP,32.014,plate1
CSB_A_10,WSP,31.571,plate1
STD_1,WSP,17.863,plate1
STD_1,WSP,17.643,plate1
STD_1,WSP,17.671,plate1
CSB_Ref_1,WSP,25.467,plate1
CSB_Ref_1,WSP,25.469,plate1
CSB_Ref_1,RPL32,28.926,plate1
CSB_Ref_1,RPL32,28.684,plate1
CSB_D_3,WSP,25.762,plate1
CSB_Ref_1,WD0513,25.875,plate1
CSB_Ref_1,WD0513,25.574,plate1
CSB_E_3,WSP,24.874,plate1
CSB_E_3,WSP,24.822,plate1
CSB_E_7,WSP,24.672,plate1
CSB_E_7,WSP,24.841,plate1
CSB_C_8,WSP,28.268,plate1
CSB_C_8,WSP,28.237,plate1
POP2_G_4,WSP,23.661,plate1
CSB_D_3,RPL32,25.196,plate1
POP2_G_4,RPL32,25.822,plate1
CSB_A_10,RPL32,36.726,plate1
CSB_A_10,RPL32,34.68,plate1
CSB_D_3,WD0513,26.035,plate1
CSB_D_3,WD0513,26.144,plate1
CSB_E_3,WD0513,25.054,plate1
CSB_E_3,WD0513,25.231,plate1
CSB_E_7,WD0513,24.822,plate1
CSB_E_7,WD0513,24.944,plate1
CSB_C_8,WD0513,28.356,plate1
CSB_D_3,RPL32,25.401,plate1
CSB_C_8,WD0513,28.438,plate1
POP2_G_4,WD0513,21.184,plate1
POP2_G_4,WD0513,21.194,plate1
CSB_A_10,WD0513,31.855,plate1
CSB_A_10,WD0513,32.435,plate1
CSB_E_3,RPL32,24.752,plate1
CSB_E_3,RPL32,24.895,plate1
CSB_E_7,RPL32,24.506,plate1
CSB_E_7,RPL32,24.322,plate1
CSB_C_8,RPL32,28.593,plate1
CSB_C_8,RPL32,28.691,plate1
POP2_G_4,RPL32,25.595,plate1
POP2_C_7,WSP,26.121,plate1
CSB_HF_7,WSP,22.644,plate1
POP2_G_8,WSP,23.31,plate1
POP2_G_8,WSP,23.32,plate1
STD_2,WSP,19.755,plate1
STD_2,WSP,19.925,plate1
STD_2,WSP,20.521,plate1
CSB_Ref_2,WSP,25.38,plate1
CSB_Ref_2,WSP,25.254,plate1
CSB_Ref_2,RPL32,28.269,plate1
CSB_Ref_2,RPL32,28.579,plate1
POP2_C_7,WSP,26.46,plate1
CSB_Ref_2,WD0513,25.566,plate1
CSB_Ref_2,WD0513,25.608,plate1
POP2_C_9,WSP,26.319,plate1
POP2_C_9,WSP,26.457,plate1
CSB_B_8,WSP,33.948,plate1
CSB_B_8,WSP,35.277,plate1
POP2_HF_2,WSP,23.827,plate1
POP2_HF_2,WSP,23.819,plate1
CSB_HF_7,WSP,22.631,plate1
POP2_C_7,RPL32,27.995,plate1
CSB_HF_7,RPL32,24.656,plate1
POP2_G_8,RPL32,25.96,plate1
POP2_G_8,RPL32,25.931,plate1
POP2_C_7,WD0513,23.742,plate1
POP2_C_7,WD0513,23.876,plate1
POP2_C_9,WD0513,24.051,plate1
POP2_C_9,WD0513,24.082,plate1
CSB_B_8,WD0513,35.026,plate1
CSB_B_8,WD0513,33.213,plate1
POP2_HF_2,WD0513,21.635,plate1
POP2_C_7,RPL32,28.179,plate1
POP2_HF_2,WD0513,21.65,plate1
CSB_HF_7,WD0513,22.919,plate1
CSB_HF_7,WD0513,22.997,plate1
POP2_G_8,WD0513,21.203,plate1
POP2_G_8,WD0513,21.086,plate1
POP2_C_9,RPL32,28.345,plate1
POP2_C_9,RPL32,28.093,plate1
CSB_B_8,RPL32,35.495,plate1
CSB_B_8,RPL32,NA,plate1
POP2_HF_2,RPL32,25.728,plate1
POP2_HF_2,RPL32,25.604,plate1
CSB_HF_7,RPL32,24.715,plate1
OCTO_F_1,WSP,23.301,plate1
CSB_G_7,WSP,23.954,plate1
OCTO_HF_5,WSP,20.926,plate1
OCTO_HF_5,WSP,20.993,plate1
STD_3,WSP,25.36,plate1
STD_3,WSP,25.237,plate1
STD_3,WSP,25.417,plate1
CSB_Ref_3,WSP,25.374,plate1
CSB_Ref_3,WSP,25.503,plate1
CSB_Ref_3,RPL32,28.12,plate1
CSB_Ref_3,RPL32,28.309,plate1
OCTO_F_1,WSP,23.769,plate1
CSB_Ref_3,WD0513,25.816,plate1
CSB_Ref_3,WD0513,25.771,plate1
CSB_HF_2,WSP,25.409,plate1
CSB_HF_2,WSP,25.336,plate1
POP2_A_1,WSP,34.444,plate1
POP2_A_1,WSP,32.675,plate1
OCTO_F_2,WSP,22.582,plate1
OCTO_F_2,WSP,22.61,plate1
CSB_G_7,WSP,24.015,plate1
OCTO_F_1,RPL32,25.071,plate1
CSB_G_7,RPL32,24.774,plate1
OCTO_HF_5,RPL32,24.875,plate1
OCTO_HF_5,RPL32,24.843,plate1
OCTO_F_1,WD0513,NA,plate1
OCTO_F_1,WD0513,NA,plate1
CSB_HF_2,WD0513,25.475,plate1
CSB_HF_2,WD0513,25.762,plate1
POP2_A_1,WD0513,31.027,plate1
POP2_A_1,WD0513,31.838,plate1
