day_post_treatment,replicate,ems_doses,number_eggs,number_adults
1,1,0,49,42
1,2,0,35,35
1,3,0,43,35
1,4,0,43,35
1,5,0,41,36
1,6,0,45,29
1,7,0,49,40
1,8,0,30,0
1,9,0,53,37
1,10,0,45,37
1,1,12.5,42,29
1,2,12.5,39,26
1,3,12.5,42,29
1,4,12.5,26,11
1,5,12.5,33,21
1,6,12.5,NA,NA
1,7,12.5,20,11
1,8,12.5,44,31
1,9,12.5,47,35
1,10,12.5,33,12
1,1,25,36,20
1,2,25,41,14
1,3,25,30,14
1,4,25,40,13
1,5,25,39,27
1,6,25,21,15
1,7,25,27,25
1,8,25,NA,NA
1,9,25,30,16
1,10,25,34,9
1,1,50,9,4
1,2,50,42,26
1,3,50,24,7
1,4,50,27,9
1,5,50,23,16
1,6,50,34,17
1,7,50,25,8
1,8,50,23,4
1,9,50,0,0
1,10,50,39,19
1,1,100,24,4
1,2,100,3,0
1,3,100,29,4
1,4,100,23,21
1,5,100,19,15
1,6,100,12,8
1,7,100,34,12
1,8,100,7,0
1,9,100,22,0
1,10,100,26,14
1,1,200,7,3
1,2,200,11,11
1,3,200,18,1
1,4,200,6,0
1,5,200,10,0
1,6,200,3,0
1,7,200,6,1
1,8,200,8,0
1,9,200,9,0
1,10,200,0,0
2,1,0,18,18
2,2,0,16,16
2,3,0,14,14
2,4,0,14,14
2,5,0,18,18
2,6,0,11,11
2,7,0,13,13
2,8,0,16,16
2,9,0,25,25
2,10,0,14,14
2,1,12.5,11,8
2,2,12.5,22,17
2,3,12.5,16,15
2,4,12.5,14,8
2,5,12.5,22,18
2,6,12.5,NA,NA
2,7,12.5,14,9
2,8,12.5,16,16
2,9,12.5,19,19
2,10,12.5,19,10
2,1,25,19,15
2,2,25,21,21
2,3,25,18,18
2,4,25,16,12
2,5,25,14,11
2,6,25,13,4
2,7,25,15,15
2,8,25,NA,NA
2,9,25,16,16
2,10,25,17,9
2,1,50,17,13
2,2,50,16,15
2,3,50,11,3
2,4,50,11,7
2,5,50,15,19
2,6,50,19,19
2,7,50,13,3
2,8,50,15,7
2,9,50,6,2
2,10,50,12,9
2,1,100,18,17
2,2,100,7,0
2,3,100,13,6
2,4,100,12,12
2,5,100,19,17
2,6,100,13,13
2,7,100,15,10
2,8,100,10,0
2,9,100,21,0
2,10,100,19,17
2,1,200,11,8
2,2,200,5,4
2,3,200,16,0
2,4,200,12,0
2,5,200,13,8
2,6,200,6,0
2,7,200,12,6
2,8,200,14,7
2,9,200,12,9
2,10,200,0,0
3,1,0,10,10
3,2,0,4,4
3,3,0,7,6
3,4,0,7,7
3,5,0,8,8
3,6,0,8,8
3,7,0,10,9
3,8,0,20,17
3,9,0,13,13
3,10,0,8,8
3,1,12.5,6,3
3,2,12.5,6,4
3,3,12.5,7,7
3,4,12.5,6,3
3,5,12.5,8,8
3,6,12.5,NA,NA
3,7,12.5,11,7
3,8,12.5,9,9
3,9,12.5,5,5
3,10,12.5,9,4
3,1,25,13,7
3,2,25,11,11
3,3,25,9,9
3,4,25,13,13
3,5,25,9,8
3,6,25,6,4
3,7,25,11,10
3,8,25,NA,NA
3,9,25,7,7
3,10,25,8,7
3,1,50,12,12
3,2,50,12,9
3,3,50,3,1
3,4,50,7,3
3,5,50,3,3
3,6,50,9,9
3,7,50,4,0
3,8,50,8,3
3,9,50,5,1
3,10,50,9,6
3,1,100,13,13
3,2,100,4,4
3,3,100,12,12
3,4,100,8,8
3,5,100,10,10
3,6,100,7,7
3,7,100,6,6
3,8,100,4,4
3,9,100,7,7
3,10,100,8,8
3,1,200,8,6
3,2,200,9,9
3,3,200,12,0
3,4,200,3,0
3,5,200,9,7
3,6,200,4,0
3,7,200,10,9
3,8,200,10,7
3,9,200,11,9
3,10,200,1,0
4,1,0,7,6
4,2,0,6,6
4,3,0,5,4
4,4,0,8,8
4,5,0,6,6
4,6,0,5,5
4,7,0,2,2
4,8,0,8,8
4,9,0,5,5
4,10,0,6,6
4,1,12.5,3,1
4,2,12.5,4,3
4,3,12.5,8,8
4,4,12.5,5,4
4,5,12.5,9,8
4,6,12.5,NA,NA
4,7,12.5,1,0
4,8,12.5,4,4
4,9,12.5,6,6
4,10,12.5,3,1
4,1,25,8,4
4,2,25,8,8
4,3,25,5,5
4,4,25,6,5
4,5,25,7,7
4,6,25,4,3
4,7,25,3,3
4,8,25,NA,NA
4,9,25,4,4
4,10,25,5,3
4,1,50,10,7
4,2,50,4,4
4,3,50,0,0
4,4,50,0,0
4,5,50,10,8
4,6,50,8,6
4,7,50,5,0
4,8,50,4,1
4,9,50,2,1
4,10,50,1,1
4,1,100,5,5
4,2,100,6,0
4,3,100,8,8
4,4,100,5,5
4,5,100,6,3
4,6,100,8,6
4,7,100,7,4
4,8,100,4,0
4,9,100,4,0
4,10,100,6,5
4,1,200,7,7
4,2,200,7,5
4,3,200,9,0
4,4,200,5,0
4,5,200,6,5
4,6,200,5,0
4,7,200,10,8
4,8,200,7,4
4,9,200,5,5
4,10,200,1,0
5,1,0,NA,NA
5,2,0,2,1
5,3,0,2,2
5,4,0,7,7
5,5,0,7,7
5,6,0,3,3
5,7,0,10,10
5,8,0,4,3
5,9,0,8,8
5,10,0,8,8
5,1,12.5,4,1
5,2,12.5,7,6
5,3,12.5,6,5
5,4,12.5,4,4
5,5,12.5,3,3
5,6,12.5,NA,NA
5,7,12.5,3,1
5,8,12.5,7,6
5,9,12.5,5,5
5,10,12.5,4,3
5,1,25,6,1
5,2,25,6,6
5,3,25,5,5
5,4,25,2,2
5,5,25,5,4
5,6,25,3,1
5,7,25,5,5
5,8,25,NA,NA
5,9,25,4,3
5,10,25,6,4
5,1,50,5,3
5,2,50,5,5
5,3,50,0,0
5,4,50,4,3
5,5,50,6,4
5,6,50,6,5
5,7,50,3,1
5,8,50,3,1
5,9,50,0,0
5,10,50,6,2
5,1,100,4,3
5,2,100,1,0
5,3,100,7,7
5,4,100,4,4
5,5,100,4,4
5,6,100,4,1
5,7,100,2,0
5,8,100,1,0
5,9,100,4,3
5,10,100,1,1
5,1,200,3,1
5,2,200,5,4
