day,unique_id,status,wolbachia,temperature,experimental_replicate,replicate,sex
115,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
115,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
120,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
120,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
125,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
126,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
136,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
136,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
136,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
145,wMelCS_b_18_1_1,1,wMelCS_b,18,1,1,Male
109,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
109,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
110,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
110,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
115,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
115,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
115,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
135,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
136,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
136,wMelCS_b_18_1_2,1,wMelCS_b,18,1,2,Male
100,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
104,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
109,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
110,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
110,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
115,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
115,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
115,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
133,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
136,wMelCS_b_18_1_3,1,wMelCS_b,18,1,3,Male
100,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
114,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
120,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
126,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
129,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
130,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
130,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
134,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
135,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
136,wMelCS_b_18_1_4,1,wMelCS_b,18,1,4,Male
125,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
126,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
126,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
126,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
126,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
126,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
130,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
134,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
134,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
136,wMelCS_b_18_1_5,1,wMelCS_b,18,1,5,Male
91,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
115,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
120,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
126,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
126,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
135,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
135,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
136,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
136,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
136,NoWolb_18_1_1,1,NoWolb,18,1,1,Male
65,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
96,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
99,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
100,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
105,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
115,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
135,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
135,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
136,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
136,NoWolb_18_1_2,1,NoWolb,18,1,2,Male
96,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
99,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
125,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
135,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
135,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
135,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
135,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
136,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
136,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
136,NoWolb_18_1_3,1,NoWolb,18,1,3,Male
80,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
109,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
109,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
115,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
120,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
120,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
123,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
125,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
125,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
125,NoWolb_18_1_4,1,NoWolb,18,1,4,Male
111,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
125,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
125,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
126,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
130,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
130,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
135,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
135,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
136,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
136,NoWolb_18_1_5,1,NoWolb,18,1,5,Male
65,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
65,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
65,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
65,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
70,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
74,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
75,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
75,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
75,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
75,wMelOctoless_18_1_1,1,wMelOctoless,18,1,1,Male
60,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
65,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
65,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
70,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
70,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
74,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
75,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
75,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
75,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
80,wMelOctoless_18_1_2,1,wMelOctoless,18,1,2,Male
65,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
65,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
65,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
65,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
65,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
74,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
75,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
75,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
75,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
80,wMelOctoless_18_1_3,1,wMelOctoless,18,1,3,Male
65,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
65,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
65,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
65,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
70,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
75,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
79,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
79,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
79,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
80,wMelOctoless_18_1_4,1,wMelOctoless,18,1,4,Male
55,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
65,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
65,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
65,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
69,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
69,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
69,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
70,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
74,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
79,wMelOctoless_18_1_5,1,wMelOctoless,18,1,5,Male
55,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
86,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
100,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
126,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
126,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
126,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
135,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
135,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
136,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
136,wMelPop2-Low_18_1_1,1,wMelPop2-Low,18,1,1,Male
100,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
100,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
105,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
115,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
115,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
115,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
119,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
119,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
120,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
133,wMelPop2-Low_18_1_2,1,wMelPop2-Low,18,1,2,Male
33,wMelPop2-Low_18_1_3,1,wMelPop2-Low,18,1,3,Male
