day,unique_id,status,experimental_replicate,replicate,cross
27,CSB_OCTO_1_1,1,1,1,CSB X OCTO
31,CSB_OCTO_1_1,1,1,1,CSB X OCTO
31,CSB_OCTO_1_1,1,1,1,CSB X OCTO
31,CSB_OCTO_1_1,1,1,1,CSB X OCTO
32,CSB_OCTO_1_1,1,1,1,CSB X OCTO
32,CSB_OCTO_1_1,1,1,1,CSB X OCTO
33,CSB_OCTO_1_1,1,1,1,CSB X OCTO
33,CSB_OCTO_1_1,1,1,1,CSB X OCTO
33,CSB_OCTO_1_1,1,1,1,CSB X OCTO
35,CSB_OCTO_1_1,1,1,1,CSB X OCTO
25,CSB_OCTO_1_2,1,1,2,CSB X OCTO
27,CSB_OCTO_1_2,1,1,2,CSB X OCTO
30,CSB_OCTO_1_2,1,1,2,CSB X OCTO
31,CSB_OCTO_1_2,1,1,2,CSB X OCTO
31,CSB_OCTO_1_2,1,1,2,CSB X OCTO
33,CSB_OCTO_1_2,1,1,2,CSB X OCTO
33,CSB_OCTO_1_2,1,1,2,CSB X OCTO
33,CSB_OCTO_1_2,1,1,2,CSB X OCTO
33,CSB_OCTO_1_2,1,1,2,CSB X OCTO
36,CSB_OCTO_1_2,1,1,2,CSB X OCTO
27,CSB_OCTO_1_3,1,1,3,CSB X OCTO
27,CSB_OCTO_1_3,1,1,3,CSB X OCTO
31,CSB_OCTO_1_3,1,1,3,CSB X OCTO
31,CSB_OCTO_1_3,1,1,3,CSB X OCTO
31,CSB_OCTO_1_3,1,1,3,CSB X OCTO
32,CSB_OCTO_1_3,1,1,3,CSB X OCTO
32,CSB_OCTO_1_3,1,1,3,CSB X OCTO
32,CSB_OCTO_1_3,1,1,3,CSB X OCTO
32,CSB_OCTO_1_3,1,1,3,CSB X OCTO
33,CSB_OCTO_1_3,1,1,3,CSB X OCTO
25,CSB_OCTO_1_4,1,1,4,CSB X OCTO
27,CSB_OCTO_1_4,1,1,4,CSB X OCTO
27,CSB_OCTO_1_4,1,1,4,CSB X OCTO
28,CSB_OCTO_1_4,1,1,4,CSB X OCTO
28,CSB_OCTO_1_4,1,1,4,CSB X OCTO
31,CSB_OCTO_1_4,1,1,4,CSB X OCTO
31,CSB_OCTO_1_4,1,1,4,CSB X OCTO
31,CSB_OCTO_1_4,1,1,4,CSB X OCTO
32,CSB_OCTO_1_4,1,1,4,CSB X OCTO
35,CSB_OCTO_1_4,1,1,4,CSB X OCTO
8,CSB_OCTO_1_5,1,1,5,CSB X OCTO
26,CSB_OCTO_1_5,1,1,5,CSB X OCTO
27,CSB_OCTO_1_5,1,1,5,CSB X OCTO
27,CSB_OCTO_1_5,1,1,5,CSB X OCTO
28,CSB_OCTO_1_5,1,1,5,CSB X OCTO
28,CSB_OCTO_1_5,1,1,5,CSB X OCTO
32,CSB_OCTO_1_5,1,1,5,CSB X OCTO
32,CSB_OCTO_1_5,1,1,5,CSB X OCTO
33,CSB_OCTO_1_5,1,1,5,CSB X OCTO
33,CSB_OCTO_1_5,1,1,5,CSB X OCTO
8,OCTO_CSB_1_1,0,1,1,OCTO X CSB
16,OCTO_CSB_1_1,1,1,1,OCTO X CSB
20,OCTO_CSB_1_1,1,1,1,OCTO X CSB
