day,unique_id,status,wolbachia,experimental_replicate,infection,replicate
7,A_1_DCV_1,1,POPL,1,DCV,1
8,A_1_DCV_1,1,POPL,1,DCV,1
11,A_1_DCV_1,1,POPL,1,DCV,1
13,A_1_DCV_1,1,POPL,1,DCV,1
14,A_1_DCV_1,1,POPL,1,DCV,1
15,A_1_DCV_1,1,POPL,1,DCV,1
16,A_1_DCV_1,1,POPL,1,DCV,1
16,A_1_DCV_1,1,POPL,1,DCV,1
19,A_1_DCV_1,1,POPL,1,DCV,1
21,A_1_DCV_1,1,POPL,1,DCV,1
2,A_1_DCV_2,1,POPL,1,DCV,2
4,A_1_DCV_2,1,POPL,1,DCV,2
10,A_1_DCV_2,1,POPL,1,DCV,2
10,A_1_DCV_2,1,POPL,1,DCV,2
13,A_1_DCV_2,1,POPL,1,DCV,2
13,A_1_DCV_2,1,POPL,1,DCV,2
17,A_1_DCV_2,1,POPL,1,DCV,2
19,A_1_DCV_2,1,POPL,1,DCV,2
19,A_1_DCV_2,1,POPL,1,DCV,2
21,A_1_DCV_2,1,POPL,1,DCV,2
9,A_1_DCV_3,1,POPL,1,DCV,3
10,A_1_DCV_3,1,POPL,1,DCV,3
11,A_1_DCV_3,1,POPL,1,DCV,3
11,A_1_DCV_3,1,POPL,1,DCV,3
15,A_1_DCV_3,1,POPL,1,DCV,3
16,A_1_DCV_3,1,POPL,1,DCV,3
19,A_1_DCV_3,1,POPL,1,DCV,3
40,A_1_DCV_3,0,POPL,1,DCV,3
40,A_1_DCV_3,0,POPL,1,DCV,3
40,A_1_DCV_3,0,POPL,1,DCV,3
7,A_1_DCV_4,1,POPL,1,DCV,4
9,A_1_DCV_4,1,POPL,1,DCV,4
10,A_1_DCV_4,1,POPL,1,DCV,4
13,A_1_DCV_4,1,POPL,1,DCV,4
14,A_1_DCV_4,1,POPL,1,DCV,4
15,A_1_DCV_4,1,POPL,1,DCV,4
15,A_1_DCV_4,1,POPL,1,DCV,4
17,A_1_DCV_4,1,POPL,1,DCV,4
18,A_1_DCV_4,1,POPL,1,DCV,4
18,A_1_DCV_4,1,POPL,1,DCV,4
6,A_1_DCV_5,1,POPL,1,DCV,5
8,A_1_DCV_5,1,POPL,1,DCV,5
8,A_1_DCV_5,1,POPL,1,DCV,5
9,A_1_DCV_5,1,POPL,1,DCV,5
10,A_1_DCV_5,1,POPL,1,DCV,5
11,A_1_DCV_5,1,POPL,1,DCV,5
11,A_1_DCV_5,1,POPL,1,DCV,5
11,A_1_DCV_5,1,POPL,1,DCV,5
12,A_1_DCV_5,1,POPL,1,DCV,5
13,A_1_DCV_5,1,POPL,1,DCV,5
1,A_1_Buffer_1,1,POPL,1,Buffer,1
2,A_1_Buffer_1,1,POPL,1,Buffer,1
8,A_1_Buffer_1,1,POPL,1,Buffer,1
40,A_1_Buffer_1,0,POPL,1,Buffer,1
40,A_1_Buffer_1,0,POPL,1,Buffer,1
40,A_1_Buffer_1,0,POPL,1,Buffer,1
40,A_1_Buffer_1,0,POPL,1,Buffer,1
40,A_1_Buffer_1,0,POPL,1,Buffer,1
40,A_1_Buffer_1,0,POPL,1,Buffer,1
40,A_1_Buffer_1,0,POPL,1,Buffer,1
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
40,A_1_Buffer_2,0,POPL,1,Buffer,2
15,A_1_Buffer_3,1,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
40,A_1_Buffer_3,0,POPL,1,Buffer,3
2,A_1_Buffer_4,1,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
40,A_1_Buffer_4,0,POPL,1,Buffer,4
8,A_1_Buffer_5,1,POPL,1,Buffer,5
40,A_1_Buffer_5,0,POPL,1,Buffer,5
40,A_1_Buffer_5,0,POPL,1,Buffer,5
40,A_1_Buffer_5,0,POPL,1,Buffer,5
40,A_1_Buffer_5,0,POPL,1,Buffer,5
40,A_1_Buffer_5,0,POPL,1,Buffer,5
