sample	gene	cts	fly_generations
C_Y_Y_Y_D_1	WSP	22.401	1
C_Y_Y_Y_D_1	WSP	22.356	1
C_Y_Y_Y_D_1	RPL32	26.872	1
C_Y_Y_Y_D_1	RPL32	26.857	1
C_Y_Y_N_B_1	WSP	22.86	1
C_Y_Y_N_B_1	WSP	22.808	1
C_Y_Y_N_F_1	WSP	22.702	1
C_Y_Y_N_F_1	WSP	22.751	1
C_Y_Y_N_E_1	WSP	22.404	1
C_Y_Y_N_E_1	WSP	22.548	1
C_Y_Y_N_B_1	RPL32	26.786	1
C_Y_Y_N_B_1	RPL32	26.825	1
C_Y_Y_N_F_1	RPL32	26.599	1
C_Y_Y_N_F_1	RPL32	26.446	1
C_Y_Y_N_E_1	RPL32	25.983	1
C_Y_Y_N_E_1	RPL32	25.843	1
C_Y_Y_N_A_1	WSP	22.23	1
C_Y_Y_N_A_1	WSP	22.331	1
C_Y_Y_Y_C_1	WSP	22.022	1
C_Y_Y_Y_C_1	WSP	22.058	1
C_Y_Y_N_A_1	RPL32	26.367	1
C_Y_Y_N_A_1	RPL32	26.296	1
C_Y_Y_Y_C_1	RPL32	26.045	1
C_Y_Y_Y_C_1	RPL32	26.465	1
L_N_Y_N_C_1	WSP	24.325	1
L_N_Y_N_C_1	WSP	24.349	1
L_N_Y_N_C_1	RPL32	27.205	1
L_N_Y_N_C_1	RPL32	27.047	1
L_N_Y_N_A_1	WSP	19.889	1
L_N_Y_N_A_1	WSP	19.985	1
L_N_Y_Y_B_1	WSP	20.176	1
L_N_Y_Y_B_1	WSP	20.223	1
L_N_Y_N_A_1	RPL32	26.624	1
L_N_Y_N_A_1	RPL32	26.461	1
L_N_Y_Y_B_1	RPL32	25.828	1
L_N_Y_Y_B_1	RPL32	25.766	1
L_N_Y_N_F_1	WSP	24.089	1
L_N_Y_N_F_1	WSP	24.226	1
L_N_Y_N_D_1	WSP	24.392	1
L_N_Y_N_D_1	WSP	24.459	1
L_N_Y_N_F_1	RPL32	25.983	1
L_N_Y_N_F_1	RPL32	25.835	1
L_N_Y_N_D_1	RPL32	27.389	1
L_N_Y_N_D_1	RPL32	27.632	1
L_N_Y_N_E_1	WSP	24.594	1
L_N_Y_N_E_1	WSP	24.565	1
L_N_Y_N_E_1	RPL32	27.079	1
L_N_Y_N_E_1	RPL32	27.104	1
C_Y_N_N_C_1	WSP	23.885	2
C_Y_N_N_C_1	WSP	24.093	2
C_Y_N_N_C_4	WSP	22.483	2
C_Y_N_N_C_4	WSP	22.531	2
C_Y_N_N_C_1	RPL32	28.657	2
C_Y_N_N_C_1	RPL32	28.395	2
C_Y_N_N_C_4	RPL32	26.083	2
C_Y_N_N_C_4	RPL32	26.265	2
C_Y_N_N_C_2	WSP	22.908	2
C_Y_N_N_C_2	WSP	22.922	2
C_Y_N_N_C_2	RPL32	27.474	2
C_Y_N_N_C_2	RPL32	27.39	2
C_N_Y_N_D_5	WSP	22.919	2
C_N_Y_N_D_5	WSP	22.902	2
C_N_Y_N_D_5	RPL32	26.833	2
C_N_Y_N_D_5	RPL32	26.78	2
C_N_Y_N_D_2	WSP	23.206	2
C_N_Y_N_D_2	WSP	22.89	2
C_N_Y_N_D_2	RPL32	26.934	2
C_N_Y_N_D_2	RPL32	26.897	2
C_N_Y_N_D_4	WSP	23.126	2
C_N_Y_N_D_4	WSP	22.776	2
C_N_Y_N_D_4	RPL32	26.768	2
C_N_Y_N_D_4	RPL32	26.706	2
C_N_Y_N_D_1	WSP	22.757	2
C_N_Y_N_D_1	WSP	23.027	2
C_N_Y_N_D_3	WSP	23.297	2
C_N_Y_N_D_3	WSP	23.401	2
C_N_Y_N_D_1	RPL32	26.931	2
C_N_Y_N_D_1	RPL32	26.945	2
C_N_Y_N_D_3	RPL32	26.894	2
C_N_Y_N_D_3	RPL32	26.885	2
L_N_Y_N_B_4	WSP	20.159	2
L_N_Y_N_B_4	WSP	19.93	2
L_N_Y_N_B_4	RPL32	26.592	2
L_N_Y_N_B_4	RPL32	26.384	2
L_N_Y_N_B_3	WSP	20.159	2
L_N_Y_N_B_3	WSP	20.1	2
L_N_Y_N_B_3	RPL32	26.229	2
L_N_Y_N_B_3	RPL32	26.278	2
L_N_Y_Y_B_5	WSP	19.56	2
L_N_Y_Y_B_5	WSP	19.643	2
L_N_Y_Y_B_5	RPL32	26.507	2
L_N_Y_Y_B_5	RPL32	26.473	2
L_N_Y_N_B_1	WSP	20.085	2
L_N_Y_N_B_1	WSP	20.09	2
L_N_Y_N_B_1	RPL32	26.538	2
L_N_Y_N_B_1	RPL32	26.972	2
L_N_Y_N_B_2	WSP	20.175	2
L_N_Y_N_B_2	WSP	20.373	2
L_N_Y_N_B_2	RPL32	26.535	2
L_N_Y_N_B_2	RPL32	26.567	2
C_Y_N_N_C_1	WSP	21.276	3
C_Y_N_N_C_1	WSP	21.205	3
C_Y_N_N_C_1	RPL32	27.563	3
C_Y_N_N_C_1	RPL32	27.475	3
C_Y_N_N_C_2	WSP	21.451	3
C_Y_N_N_C_2	WSP	21.351	3
C_Y_N_N_C_2	RPL32	27.439	3
C_Y_N_N_C_2	RPL32	27.638	3
C_Y_N_N_C_5	WSP	21.276	3
C_Y_N_N_C_5	WSP	21.277	3
C_Y_N_N_C_3	WSP	20.821	3
C_Y_N_N_C_3	WSP	20.798	3
C_Y_N_N_C_5	RPL32	26.388	3
C_Y_N_N_C_5	RPL32	26.314	3
C_Y_N_N_C_3	RPL32	26.065	3
C_Y_N_N_C_3	RPL32	26.218	3
C_Y_N_N_C_4	WSP	21.133	3
C_Y_N_N_C_4	WSP	20.841	3
C_Y_N_N_C_4	RPL32	26.398	3
C_Y_N_N_C_4	RPL32	26.439	3
C_N_Y_N_D_5	WSP	21.433	3
C_N_Y_N_D_5	WSP	21.248	3
C_N_Y_N_D_3	WSP	21.506	3
C_N_Y_N_D_3	WSP	21.502	3
C_N_Y_N_D_4	WSP	21.3	3
C_N_Y_N_D_4	WSP	21.339	3
C_N_Y_N_D_5	RPL32	26.984	3
C_N_Y_N_D_5	RPL32	26.988	3
C_N_Y_N_D_3	RPL32	26.992	3
C_N_Y_N_D_3	RPL32	27.155	3
C_N_Y_N_D_4	RPL32	26.422	3
C_N_Y_N_D_4	RPL32	26.57	3
C_N_Y_N_D_2	WSP	21.117	3
C_N_Y_N_D_2	WSP	20.802	3
C_N_Y_N_D_2	RPL32	25.862	3
C_N_Y_N_D_2	RPL32	25.769	3
C_N_Y_N_D_1	WSP	21.595	3
C_N_Y_N_D_1	WSP	21.11	3
C_N_Y_N_D_1	RPL32	26.251	3
C_N_Y_N_D_1	RPL32	26.242	3
L_N_Y_N_B_9	WSP	17.936	3
L_N_Y_N_B_9	WSP	17.873	3
L_N_Y_N_B_9	RPL32	26.22	3
L_N_Y_N_B_9	RPL32	26.733	3
L_N_Y_N_B_5	WSP	17.607	3
L_N_Y_N_B_5	WSP	17.636	3
L_N_Y_N_B_5	RPL32	27.153	3
L_N_Y_N_B_5	RPL32	26.977	3
L_N_Y_N_B_2	WSP	17.571	3
L_N_Y_N_B_2	WSP	17.693	3
L_N_Y_Y_B_3	WSP	17.682	3
L_N_Y_Y_B_3	WSP	17.584	3
L_N_Y_N_B_2	RPL32	26.485	3
L_N_Y_N_B_2	RPL32	26.642	3
L_N_Y_Y_B_3	RPL32	27.105	3
L_N_Y_Y_B_3	RPL32	27.111	3
L_N_Y_N_B_10	WSP	18.294	3
L_N_Y_N_B_10	WSP	18.31	3
L_N_Y_N_B_10	RPL32	27.901	3
L_N_Y_N_B_10	RPL32	27.638	3
L_N_Y_N_B_8	WSP	17.241	3
L_N_Y_N_B_8	WSP	17.232	3
L_N_Y_N_B_8	RPL32	26.481	3
L_N_Y_N_B_8	RPL32	26.206	3
L_N_Y_N_B_7	WSP	18.335	3
L_N_Y_N_B_7	WSP	18.282	3
L_N_Y_N_B_7	RPL32	26.727	3
L_N_Y_N_B_7	RPL32	26.692	3
L_N_Y_N_B_1	WSP	17.83	3
L_N_Y_N_B_1	WSP	17.559	3
L_N_Y_N_B_4	WSP	17.64	3
L_N_Y_N_B_4	WSP	17.682	3
L_N_Y_N_B_1	RPL32	26.423	3
L_N_Y_N_B_1	RPL32	26.227	3
L_N_Y_N_B_4	RPL32	26.417	3
L_N_Y_N_B_4	RPL32	26.574	3
C_Y_N_N_C_2	WSP	22.071	4
C_Y_N_N_C_2	WSP	22.14	4
C_Y_N_N_C_2	RPL32	26.408	4
C_Y_N_N_C_2	RPL32	26.344	4
C_Y_N_N_C_1	WSP	22.139	4
C_Y_N_N_C_1	WSP	22.14	4
C_Y_N_N_C_1	RPL32	26.438	4
C_Y_N_N_C_1	RPL32	26.441	4
C_Y_N_N_C_4	WSP	22.423	4
C_Y_N_N_C_4	WSP	22.351	4
C_Y_N_N_C_4	RPL32	26.675	4
C_Y_N_N_C_4	RPL32	26.677	4
C_Y_N_N_C_5	WSP	22.835	4
C_Y_N_N_C_5	WSP	22.802	4
C_Y_N_N_C_5	RPL32	26.413	4
C_Y_N_N_C_5	RPL32	26.447	4
C_N_Y_N_D_3	WSP	22.744	4
C_N_Y_N_D_3	WSP	22.756	4
C_N_Y_N_D_2	WSP	23.281	4
C_N_Y_N_D_2	WSP	23.252	4
C_N_Y_N_D_3	RPL32	26.831	4
C_N_Y_N_D_3	RPL32	26.865	4
C_N_Y_N_D_2	RPL32	27.277	4
C_N_Y_N_D_2	RPL32	26.92	4
C_N_Y_N_D_4	WSP	22.384	4
C_N_Y_N_D_4	WSP	22.515	4
C_N_Y_N_D_5	WSP	22.205	4
C_N_Y_N_D_5	WSP	22.115	4
C_N_Y_N_D_4	RPL32	26.643	4
C_N_Y_N_D_4	RPL32	26.745	4
C_N_Y_N_D_5	RPL32	26.214	4
C_N_Y_N_D_5	RPL32	26.191	4
C_N_Y_N_D_1	WSP	22.326	4
C_N_Y_N_D_1	WSP	22.251	4
C_N_Y_N_D_1	RPL32	26.625	4
C_N_Y_N_D_1	RPL32	26.529	4
L_N_Y_Y_B_8	WSP	18.456	4
L_N_Y_Y_B_8	WSP	18.41	4
L_N_Y_Y_B_8	RPL32	27.179	4
L_N_Y_Y_B_8	RPL32	26.933	4
L_N_Y_N_B_3	WSP	18.643	4
L_N_Y_N_B_3	WSP	18.667	4
L_N_Y_N_B_3	RPL32	26.499	4
L_N_Y_N_B_3	RPL32	26.568	4
L_N_Y_N_B_2	WSP	18.415	4
L_N_Y_N_B_2	WSP	18.504	4
L_N_Y_N_B_2	RPL32	26.885	4
L_N_Y_N_B_2	RPL32	26.489	4
L_N_Y_N_B_7	WSP	18	4
L_N_Y_N_B_7	WSP	18.141	4
L_N_Y_N_B_1	WSP	19.362	4
L_N_Y_N_B_1	WSP	19.307	4
L_N_Y_N_B_7	RPL32	26.503	4
L_N_Y_N_B_7	RPL32	26.643	4
L_N_Y_N_B_1	RPL32	26.863	4
L_N_Y_N_B_1	RPL32	26.772	4
L_N_Y_N_B_10	WSP	18.138	4
L_N_Y_N_B_10	WSP	18.274	4
L_N_Y_N_B_4	WSP	18.204	4
L_N_Y_N_B_4	WSP	18.145	4
L_N_Y_N_B_10	RPL32	27.059	4
L_N_Y_N_B_10	RPL32	27.076	4
L_N_Y_N_B_4	RPL32	26.25	4
L_N_Y_N_B_4	RPL32	26.339	4
L_N_Y_N_B_6	WSP	18.127	4
L_N_Y_N_B_6	WSP	18.002	4
L_N_Y_N_B_6	RPL32	26.456	4
L_N_Y_N_B_6	RPL32	26.414	4
